gene,log2FoldChange
AT2G43680,-0.669212656
AT5G04960,-0.789828938
AT5G62340,-1.253426604
AT5G13390,-0.830577422
AT4G31160,-0.830441793
AT1G64480,-1.252707642
AT3G20015,-0.833824018
AT3G19740,-0.761065083
AT1G74720,-0.943261262
AT2G01440,-0.934734705
AT1G50010,-0.667606648
AT5G57110,-0.653685645
AT2G20300,-0.774529842
AT2G15300,-0.869251848
AT1G12520,-0.774205501
AT1G56190,-0.731356796
AT3G01910,-0.680137177
AT4G27010,-0.910587446
AT5G51300,-0.739529795
AT3G63200,-0.824781272
AT1G04220,-0.605063023
AT5G58290,-0.604780022
AT3G55500,-0.922363946
AT5G25830,-0.937188738
AT3G52960,-0.783203177
AT2G18510,-0.823141627
AT3G02540,-0.764904261
AT2G28450,-0.768632828
AT5G08450,-0.711273464
AT4G03190,-0.872301076
AT4G15180,-0.763813535
AT4G17330,-0.64688534
AT5G12330,-0.725532156
AT5G18200,-0.767312136
AT5G66680,-0.709545499
AT4G35160,-0.673657224
AT3G55360,-0.600343662
AT4G28100,-0.902321844
AT4G01810,-0.779277586
AT1G61210,-0.723871929
AT1G74160,-0.866712398
AT3G06355,-0.763156996
AT1G37130,-0.581595004
AT5G33320,-0.642593793
AT5G10240,-0.928215622
AT5G13640,-0.720804342
AT5G49280,-0.720781772
AT3G07100,-0.668972456
AT4G38430,-0.812903677
AT4G34980,-1.102926464
AT1G27750,-0.817140844
AT3G53190,-0.924147604
AT1G08190,-0.653057006
AT1G04140,-0.665964183
AT4G08960,-0.757502426
AT1G27430,-0.776777211
AT4G01350,-0.757200283
AT1G15670,-0.742787223
AT1G73240,-0.920429423
AT5G14040,-0.591290872
AT3G55230,-0.663886667
AT5G23210,-0.827029421
AT5G23150,-0.714728275
AT4G02510,-0.768932351
AT2G01600,-0.636129944
AT1G62970,-0.95527106
AT3G62980,-0.662763939
AT4G19710,-0.806334089
AT3G11130,-0.648108907
AT5G25820,-0.773405643
AT2G43150,-0.573658158
AT3G13225,-0.753866669
AT5G08550,-0.753821552
AT1G79560,-0.90896777
AT1G03530,-0.952630269
AT5G15680,-0.772073252
AT2G01275,-0.844862302
AT1G79970,-0.71101119
AT2G22510,-0.571762706
AT5G23610,-0.80309778
AT2G22680,-0.804248607
AT5G64290,-0.710029139
AT4G34110,-0.570260546
AT5G11890,-0.913190577
AT1G21630,-0.702418252
AT5G51200,-0.851471577
AT1G47500,-0.818600396
AT3G12280,-0.800595856
AT1G47840,-0.946490105
AT4G21710,-0.69880106
AT1G23090,-0.879988597
AT5G23890,-0.65542885
AT4G16380,-0.640945157
AT1G54490,-0.654991419
AT3G19170,-0.654364251
AT3G22780,-0.90851838
AT1G64660,-0.687427242
AT5G38600,-0.836436919
AT2G39130,-0.740818643
AT1G70620,-0.740787777
AT2G42880,-0.697183584
AT5G44160,-0.799616824
AT2G34830,-0.905869762
AT4G06744,-0.686089101
AT5G11490,-0.739223714
AT5G53870,-1.197525193
AT4G10840,-0.683874349
AT3G01460,-0.791457606
AT5G20990,-0.707971592
AT1G68130,-1.072365105
AT3G51770,-0.758718663
AT5G65620,-0.752331001
AT1G77180,-0.692082317
AT5G58410,-0.698124657
AT2G33570,-0.828456299
AT1G51580,-0.828437471
AT1G59610,-0.690678792
AT3G19840,-0.827637544
AT1G22530,-0.679156009
AT1G26110,-0.629371598
AT2G46020,-0.687127995
AT3G04810,-0.693784622
AT3G09000,-0.69360349
AT5G39550,-0.928760241
AT1G15550,-0.891526146
AT5G11350,-0.822696742
AT3G54920,-0.782809653
AT4G34260,-0.831569713
AT5G24620,-0.698511045
AT2G35920,-0.798711368
AT1G14730,-0.551679131
AT1G28350,-0.728918712
AT1G72090,-0.72856466
AT5G17440,-0.72785007
AT5G42950,-0.672221909
AT1G76930,-0.548868901
AT1G05260,-0.546562603
AT5G23630,-0.666455022
AT4G08350,-0.674792278
AT5G22770,-0.682699639
AT2G29210,-0.77200497
AT3G08680,-0.820675235
AT1G06950,-0.82040042
AT5G08130,-0.665374073
AT4G25730,-0.818251635
AT5G65750,-0.714151883
AT1G02205,-0.672239048
AT5G38940,-0.601906097
AT5G05170,-0.556183743
AT2G41960,-0.712934409
AT2G47700,-0.684939779
AT4G15417,0.689128118
AT4G37970,0.566549959
AT4G23420,0.541842553
AT3G62730,0.614430883
AT4G22680,0.568982679
AT5G38900,0.600378233
AT5G36110,0.593951922
AT2G38870,0.565334508
AT3G25560,0.618542932
AT4G02360,0.596583129
AT1G63245,0.576561336
AT1G13340,0.550513625
AT1G28470,0.566869101
AT5G17990,0.570000633
AT3G55290,0.703626546
AT1G68880,0.57913239
AT3G54420,0.625044095
AT5G43180,0.627310596
AT5G59320,0.607405809
AT3G11840,0.675878722
AT2G32190,0.613679345
AT1G25220,0.604382323
AT5G59230,0.675922525
AT4G22730,0.702437406
AT2G44480,0.602564263
AT1G07720,0.587684609
AT3G21270,0.559511676
AT2G39490,0.714250917
AT1G48745,0.588591349
AT3G62750,0.713738881
AT1G29520,0.682736581
AT1G75280,0.56306028
AT3G28150,0.590560494
AT3G57780,0.6564173
AT3G46690,0.656448742
AT3G22910,0.659349931
AT1G30730,0.725340573
AT3G19660,0.660287322
AT5G09760,0.616370062
AT5G20860,0.613154302
AT5G49520,0.589918982
AT5G50760,0.62181953
AT5G02320,0.64864068
AT4G11211,0.647919348
AT1G67440,0.73455195
AT3G26460,0.642626461
AT1G17710,0.701701129
AT4G23680,0.630846304
AT3G15500,0.599350137
AT3G55890,0.672818161
AT3G21600,0.740578039
AT5G26220,0.70556495
AT5G01870,0.647007514
AT2G47950,0.583025865
AT3G62820,0.643531046
AT3G54390,0.614921277
AT3G18250,0.739609133
AT4G09890,0.68062908
AT1G55240,0.631219409
AT2G28700,0.753773888
AT4G33450,0.720537948
AT4G21990,0.611886572
AT1G17830,0.647420204
AT5G03545,0.597249893
AT1G78780,0.729357534
AT2G19970,0.663292011
AT5G05600,0.601534815
AT5G66670,1.064585962
AT2G46750,0.604971876
AT5G22860,0.768252288
AT2G17850,0.666909836
AT4G30530,0.66929503
AT3G09020,0.773730038
AT3G26080,0.737107068
AT1G53070,0.607528041
AT3G10930,0.776962974
AT4G14620,0.654715808
AT2G15340,0.778123603
AT4G08685,0.710738084
AT3G09830,0.692159965
AT2G02120,0.667543696
AT1G52400,1.092401427
AT5G07460,0.64161943
AT5G53880,0.70172122
AT1G47960,0.696250757
AT4G19810,0.698426701
AT2G33480,0.626980744
AT4G22980,1.1044503
AT4G09600,0.657015946
AT5G10625,0.693001016
AT4G14630,0.727533129
AT3G45970,0.644050678
AT1G64065,0.804778147
AT1G09180,0.805554812
AT5G22500,0.694679928
AT5G43570,0.652811138
AT2G46430,1.122800071
AT4G21620,0.690231544
AT3G30842,0.779747184
AT2G18360,0.700719431
AT1G72140,0.712629597
AT4G12350,0.706885067
AT3G47790,0.658850891
AT3G27884,0.639780404
AT1G60989,0.720839329
AT5G28510,0.688979442
AT2G19800,0.642189097
AT5G14650,0.782186231
AT5G42010,0.746965425
AT2G47520,0.749221331
AT4G31730,0.693592308
AT3G12040,0.82560251
AT2G41690,0.787269354
AT1G74590,0.829023793
AT1G19020,0.683667196
AT1G52200,0.652420731
AT4G36880,0.72295287
AT2G26370,1.060192057
AT4G29270,0.673600833
AT2G18370,0.700566775
AT1G51890,0.802800199
AT5G15250,0.839295173
AT1G14540,0.811760826
AT5G02780,0.724843164
AT2G30400,0.846117845
AT3G56200,0.665766838
AT1G66480,0.7537769
AT5G12340,0.670368038
AT3G28210,0.717431311
AT4G08570,0.762943138
AT2G02100,0.750379823
AT3G07970,0.676350703
AT1G23730,1.193665911
AT3G13950,0.786670756
AT2G41480,0.831428911
AT3G48850,0.77030956
AT1G68450,0.706714688
AT4G30280,0.706885947
AT1G21400,0.734177071
AT3G47510,0.740670342
AT5G45340,0.728347097
AT1G18590,0.735774811
AT5G40590,0.808730138
AT2G15760,0.888014947
AT3G58060,0.894063486
AT5G23830,0.761005368
AT2G39310,0.74967733
AT5G05960,0.726813341
AT5G42930,0.764727632
AT5G48410,0.902443661
AT2G17640,0.800482666
AT5G38100,0.906774937
