"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016701","MF","GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","3/620","38/22005",0.0909438051287653,0.64903752076931,0.61325099080208,"CCD4/ATCAO/ACD1-LIKE",3
"GO:0016627","MF","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","5/620","85/22005",0.0919568630866263,0.64903752076931,0.61325099080208,"PDE181/AOR/NA/HEMG1/CRR1",5
"GO:0004222","MF","GO:0004222","metalloendopeptidase activity","4/620","61/22005",0.0929321492286416,0.64903752076931,0.61325099080208,"NA/FTSH11/NA/NA",4
"GO:0016830","MF","GO:0016830","carbon-carbon lyase activity","6/620","111/22005",0.0938538520538102,0.64903752076931,0.61325099080208,"AtFBA5/RBCS1A/RBCS3B/NA/RBCS2B/DHNS",6
"GO:0051119","MF","GO:0051119","sugar transmembrane transporter activity","3/620","39/22005",0.0965601975298164,0.64903752076931,0.61325099080208,"HP59/AtSWEET11/AtSTP14",3
"GO:1904680","MF","GO:1904680","peptide transmembrane transporter activity","4/620","62/22005",0.0972503768214582,0.64903752076931,0.61325099080208,"SCY1/HCF106/SECE1/ALB3",4
"GO:0016209","MF","GO:0016209","antioxidant activity","7/620","139/22005",0.0984999852163907,0.64903752076931,0.61325099080208,"APX6/NA/TAPX/APX4/2-Cys/NTRC/AtSOD2",7
"GO:0050145","MF","GO:0050145","nucleoside monophosphate kinase activity","2/620","19/22005",0.0989009555457996,0.64903752076931,0.61325099080208,"NA/AMK2",2
"GO:0015450","MF","GO:0015450","P-P-bond-hydrolysis-driven protein transmembrane transporter activity","2/620","21/22005",0.117140875223218,0.718590111555535,0.678968601645205,"SECE1/ALB3",2
"GO:0016868","MF","GO:0016868","intramolecular transferase activity, phosphotransferases","2/620","21/22005",0.117140875223218,0.718590111555535,0.678968601645205,"NA/NA",2
"GO:0060590","MF","GO:0060590","ATPase regulator activity","2/620","21/22005",0.117140875223218,0.718590111555535,0.678968601645205,"Fes1C/Fes1B",2
"GO:0016810","MF","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","7/620","146/22005",0.119163442883042,0.718590111555535,0.678968601645205,"ATHDA5/NA/ARGAH2/NA/ATHDA14/AMI1/AtLpxC2",7
"GO:0016620","MF","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","3/620","43/22005",0.1203524429059,0.718590111555535,0.678968601645205,"GAPA-2/ALDH3/ALDH11A3",3
"GO:0019213","MF","GO:0019213","deacetylase activity","3/620","43/22005",0.1203524429059,0.718590111555535,0.678968601645205,"ATHDA5/ATHDA14/AtLpxC2",3
"GO:0016831","MF","GO:0016831","carboxy-lyase activity","4/620","68/22005",0.125034962346453,0.718590111555535,0.678968601645205,"RBCS1A/RBCS3B/NA/RBCS2B",4
"GO:0015145","MF","GO:0015145","monosaccharide transmembrane transporter activity","2/620","22/22005",0.126553642022729,0.718590111555535,0.678968601645205,"HP59/AtSTP14",2
"GO:0140223","MF","GO:0140223","general transcription initiation factor activity","2/620","22/22005",0.126553642022729,0.718590111555535,0.678968601645205,"HAF2/NA",2
"GO:0004659","MF","GO:0004659","prenyltransferase activity","3/620","44/22005",0.126608733940737,0.718590111555535,0.678968601645205,"ATHST/PSY/ATG4",3
"GO:0016628","MF","GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","3/620","45/22005",0.132978801373364,0.744681287690839,0.703621166565029,"AOR/NA/CRR1",3
"GO:0008028","MF","GO:0008028","monocarboxylic acid transmembrane transporter activity","2/620","23/22005",0.136137417318302,0.752338358864299,0.710856043337947,"ATPPT2/APE2",2
"GO:0044183","MF","GO:0044183","protein folding chaperone","2/620","25/22005",0.155750548930062,0.849548448709427,0.802706178354521,"AtRbcX1/AtRbcX2",2
"GO:0016655","MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","3/620","49/22005",0.159500902410352,0.858851012978817,0.811495819280737,"CRR23/NDH-M/NdhN",3
"GO:0042162","MF","GO:0042162","telomeric DNA binding","2/620","26/22005",0.165748208235763,0.881193005810384,0.832605922783245,"ATTRP1/ATTRP2",2
"GO:0051539","MF","GO:0051539","4 iron, 4 sulfur cluster binding","3/620","52/22005",0.180352654280125,0.887792227103396,0.838841277238046,"ATCNFU3/CLB4/FTRB",3
"GO:0019203","MF","GO:0019203","carbohydrate phosphatase activity","2/620","28/22005",0.186052211751842,0.887792227103396,0.838841277238046,"cfbp1/NA",2
"GO:0030145","MF","GO:0030145","manganese ion binding","3/620","53/22005",0.187460949138439,0.887792227103396,0.838841277238046,"ATGER2/NA/PSBY",3
"GO:0016616","MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/620","168/22005",0.196773911229247,0.887792227103396,0.838841277238046,"ATCAD2/DRL1/AtPLR1/NA/G6PD1/ATSDH/NA",7
"GO:0004176","MF","GO:0004176","ATP-dependent peptidase activity","2/620","30/22005",0.206678157987462,0.887792227103396,0.838841277238046,"FTSH11/CLPR4",2
"GO:0005506","MF","GO:0005506","iron ion binding","12/620","325/22005",0.208411909476983,0.887792227103396,0.838841277238046,"CYP71B4/CYP72A14/CYP71B12/CYP71B35/ATCNFU3/B2/CYP97B3/ATCAO/NA/CYP71A22/CLB4/NA",12
"GO:0015605","MF","GO:0015605","organophosphate ester transmembrane transporter activity","3/620","56/22005",0.209194433653083,0.887792227103396,0.838841277238046,"NA/ATPPT2/APE2",3
"GO:0008081","MF","GO:0008081","phosphoric diester hydrolase activity","3/620","57/22005",0.216560123210639,0.887792227103396,0.838841277238046,"GDPDL2/GDPDL1/APE2",3
"GO:0004724","MF","GO:0004724","magnesium-dependent protein serine/threonine phosphatase activity","2/620","31/22005",0.217080763192012,0.887792227103396,0.838841277238046,"PPH1/NA",2
"GO:0016776","MF","GO:0016776","phosphotransferase activity, phosphate group as acceptor","2/620","32/22005",0.227527805361848,0.887792227103396,0.838841277238046,"NA/AMK2",2
"GO:0008237","MF","GO:0008237","metallopeptidase activity","4/620","87/22005",0.230125357650446,0.887792227103396,0.838841277238046,"NA/FTSH11/NA/NA",4
"GO:0004675","MF","GO:0004675","transmembrane receptor protein serine/threonine kinase activity","3/620","59/22005",0.23144694580703,0.887792227103396,0.838841277238046,"ARK2/LecRK-I.3/LecRK-V.9",3
"GO:0015301","MF","GO:0015301","anion:anion antiporter activity","2/620","33/22005",0.238008543066596,0.887792227103396,0.838841277238046,"AST91/ATPPT2",2
"GO:0140323","MF","GO:0140323","solute:anion antiporter activity","2/620","33/22005",0.238008543066596,0.887792227103396,0.838841277238046,"AST91/ATPPT2",2
"GO:0004521","MF","GO:0004521","endoribonuclease activity","5/620","118/22005",0.239777470043178,0.887792227103396,0.838841277238046,"PRORP2/NA/LIP2/RNE/RTL1",5
"GO:0016857","MF","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","2/620","34/22005",0.248512803044149,0.887792227103396,0.838841277238046,"NDF5/EMB2728",2
"GO:0004084","MF","GO:0004084","branched-chain-amino-acid transaminase activity","1/620","10/22005",0.248631367471283,0.887792227103396,0.838841277238046,"ATBCAT-1",1
"GO:0008296","MF","GO:0008296","3'-5'-exodeoxyribonuclease activity","1/620","10/22005",0.248631367471283,0.887792227103396,0.838841277238046,"APE2",1
"GO:0008379","MF","GO:0008379","thioredoxin peroxidase activity","1/620","10/22005",0.248631367471283,0.887792227103396,0.838841277238046,"2-Cys",1
"GO:0047429","MF","GO:0047429","nucleoside-triphosphate diphosphatase activity","1/620","10/22005",0.248631367471283,0.887792227103396,0.838841277238046,"NA",1
"GO:0051537","MF","GO:0051537","2 iron, 2 sulfur cluster binding","1/620","10/22005",0.248631367471283,0.887792227103396,0.838841277238046,"FdC1",1
"GO:0051920","MF","GO:0051920","peroxiredoxin activity","1/620","10/22005",0.248631367471283,0.887792227103396,0.838841277238046,"2-Cys",1
"GO:0070569","MF","GO:0070569","uridylyltransferase activity","1/620","10/22005",0.248631367471283,0.887792227103396,0.838841277238046,"UGP3",1
"GO:0016903","MF","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","3/620","62/22005",0.254102286610866,0.887792227103396,0.838841277238046,"GAPA-2/ALDH3/ALDH11A3",3
"GO:0016891","MF","GO:0016891","endoribonuclease activity, producing 5'-phosphomonoesters","4/620","91/22005",0.254594698146113,0.887792227103396,0.838841277238046,"PRORP2/NA/LIP2/RTL1",4
"GO:0004407","MF","GO:0004407","histone deacetylase activity","2/620","35/22005",0.259030956798096,0.887792227103396,0.838841277238046,"ATHDA5/ATHDA14",2
"GO:0033558","MF","GO:0033558","protein deacetylase activity","2/620","35/22005",0.259030956798096,0.887792227103396,0.838841277238046,"ATHDA5/ATHDA14",2
"GO:0016744","MF","GO:0016744","transferase activity, transferring aldehyde or ketonic groups","1/620","11/22005",0.269811115239767,0.887792227103396,0.838841277238046,"AtCLA1",1
"GO:0016774","MF","GO:0016774","phosphotransferase activity, carboxyl group as acceptor","1/620","11/22005",0.269811115239767,0.887792227103396,0.838841277238046,"PGK1",1
"GO:0052747","MF","GO:0052747","sinapyl alcohol dehydrogenase activity","1/620","11/22005",0.269811115239767,0.887792227103396,0.838841277238046,"ATCAD2",1
"GO:2001070","MF","GO:2001070","starch binding","1/620","11/22005",0.269811115239767,0.887792227103396,0.838841277238046,"RNE",1
"GO:0038023","MF","GO:0038023","signaling receptor activity","6/620","157/22005",0.282277667399478,0.887792227103396,0.838841277238046,"ARK2/AtPHOT2/LecRK-I.3/RPS5/LecRK-V.9/ATCRY1",6
"GO:0004497","MF","GO:0004497","monooxygenase activity","8/620","221/22005",0.285607516113208,0.887792227103396,0.838841277238046,"CYP72A14/CYP71B35/ACSF/B2/ATCAO/ABA1/ACD1-LIKE/NA",8
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","11/620","318/22005",0.286545096807397,0.887792227103396,0.838841277238046,"SSR16/RPL32/RPS9/NA/RPL27/EMB3126/EMB2394/PRPL29/PRPL34/PRPL3/GHS1",11
"GO:0000036","MF","GO:0000036","acyl carrier activity","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ACP4",1
"GO:0003843","MF","GO:0003843","1,3-beta-D-glucan synthase activity","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ATGSL06",1
