gene,log2FoldChange
AT5G45140,-1.14
AT2G43880,-1.13
AT1G71210,-1.13
AT4G39730,-1.13
AT2G47240,-1.13
AT4G30700,-1.13
AT5G06460,-1.13
AT2G47470,-1.13
AT4G24175,-1.13
AT2G20370,-1.13
AT1G66520,-1.13
AT2G24120,-1.13
AT4G08685,-1.13
AT4G39300,-1.13
AT1G73630,-1.13
AT4G17520,-1.13
AT4G22130,-1.13
AT5G01890,-1.13
AT1G20220,-1.13
AT1G43860,-1.12
AT3G08680,-1.12
AT5G15960,-1.12
AT3G09820,-1.12
AT5G46700,-1.12
AT1G55890,-1.12
AT1G65010,-1.12
AT5G15810,-1.12
AT1G55260,-1.12
AT4G23200,-1.12
AT3G03960,-1.12
AT5G52470,-1.12
AT5G40770,-1.12
AT3G29320,-1.12
AT5G27820,-1.12
AT5G15450,-1.12
