From	To	Species	Gene Name
265641_at	AT2G27330	Arabidopsis thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein(AT2G27330)
267360_at	AT2G40060	Arabidopsis thaliana	Clathrin light chain protein(CLC2)
263185_at	AT1G05520	Arabidopsis thaliana	Sec23/Sec24 protein transport family protein(AT1G05520)
256130_at	AT1G18170	Arabidopsis thaliana	FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT1G18170)
253109_at	AT4G35920	Arabidopsis thaliana	PLAC8 family protein(MCA1)
260747_at	AT1G78420	Arabidopsis thaliana	RING/U-box superfamily protein(AT1G78420)
259488_at	AT1G15780	Arabidopsis thaliana	mediator of RNA polymerase II transcription subunit 15a-like protein(NRB4)
266304_at	AT2G27090	Arabidopsis thaliana	bZIP transcription factor (DUF630 and DUF632)(AT2G27090)
255654_at	AT4G00970	Arabidopsis thaliana	cysteine-rich RLK (RECEPTOR-like protein kinase) 41(CRK41)
257107_at	AT3G29070	Arabidopsis thaliana	emp24/gp25L/p24 family/GOLD family protein(AT3G29070)
251177_at	AT3G63400	Arabidopsis thaliana	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT3G63400)
245492_at	AT4G16340	Arabidopsis thaliana	guanyl-nucleotide exchange factors;GTPase binding;GTP binding protein(SPK1)
250925_at	AT5G03370	Arabidopsis thaliana	acylphosphatase family(AT5G03370)
259607_at	AT1G27940	Arabidopsis thaliana	P-glycoprotein 13(ABCB13)
258503_at	AT3G02500	Arabidopsis thaliana	mental retardation GTPase activating protein(AT3G02500)
261164_at	AT1G34470	Arabidopsis thaliana	magnesium transporter, putative (DUF803)(AT1G34470)
257373_at	AT2G43140	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G43140)
267359_at	AT2G40020	Arabidopsis thaliana	Nucleolar histone methyltransferase-related protein(AT2G40020)
247468_at	AT5G62000	Arabidopsis thaliana	auxin response factor 2(ARF2)
246936_at	AT5G25360	Arabidopsis thaliana	hypothetical protein(AT5G25360)
