From	To	Species	Gene Name
248618_at	AT5G49620	Arabidopsis thaliana	myb domain protein 78(MYB78)
256628_at	AT3G20000	Arabidopsis thaliana	translocase of the outer mitochondrial membrane 40(TOM40)
257942_at	AT3G21830	Arabidopsis thaliana	SKP1-like 8(SK8)
260518_at	AT1G51410	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT1G51410)
263177_at	AT1G05540	Arabidopsis thaliana	hypothetical protein (DUF295)(AT1G05540)
255360_at	AT4G03960	Arabidopsis thaliana	Phosphotyrosine protein phosphatases superfamily protein(PFA-DSP4)
265621_at	AT2G27300	Arabidopsis thaliana	NTM1-like 8(NTL8)
261832_at	AT1G10650	Arabidopsis thaliana	SBP (S-ribonuclease binding protein) family protein(AT1G10650)
262596_at	AT1G15080	Arabidopsis thaliana	lipid phosphate phosphatase 2(LPP2)
266202_at	AT2G02400	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT2G02400)
247488_at	AT5G61820	Arabidopsis thaliana	stress up-regulated Nod 19 protein(AT5G61820)
264491_at	AT1G27410	Arabidopsis thaliana	DNA repair metallo-beta-lactamase family protein(AT1G27410)
264307_at	AT1G61900	Arabidopsis thaliana	hypothetical protein(AT1G61900)
262413_at	AT1G34780	Arabidopsis thaliana	APR-like 4(APRL4)
249575_at	AT5G37670	Arabidopsis thaliana	HSP20-like chaperones superfamily protein(AT5G37670)
257254_at	AT3G21950	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G21950)
266009_at	AT2G37420	Arabidopsis thaliana	ATP binding microtubule motor family protein(AT2G37420)
245786_at	AT1G32150	Arabidopsis thaliana	basic region/leucine zipper transcription factor 68(bZIP68)
248667_at	AT5G48710	Arabidopsis thaliana	Ubiquitin-like superfamily protein(AT5G48710)
264442_at	AT1G27480	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT1G27480)
245762_at	AT1G27880	Arabidopsis thaliana	DEAD/DEAH box RNA helicase family protein(AT1G27880)
249912_at	AT5G22790	Arabidopsis thaliana	reticulata-related 1(RER1)
247668_at	AT5G60100	Arabidopsis thaliana	pseudo-response regulator 3(PRR3)
261210_at	AT1G12840	Arabidopsis thaliana	vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3)(DET3)
246887_at	AT5G26250	Arabidopsis thaliana	Major facilitator superfamily protein(AT5G26250)
264115_at	AT2G31290	Arabidopsis thaliana	Ubiquitin carboxyl-terminal hydrolase family protein(AT2G31290)
266463_at	AT2G47840	Arabidopsis thaliana	Uncharacterized conserved protein ycf60(Tic20-II)
257819_at	AT3G25165	Arabidopsis thaliana	ralf-like 25(RALFL25)
247330_at	AT5G63510	Arabidopsis thaliana	gamma carbonic anhydrase like 1(GAMMA CAL1)
260641_at	AT1G53200	Arabidopsis thaliana	TAF RNA polymerase I subunit A(AT1G53200)
260080_at	AT1G78160	Arabidopsis thaliana	pumilio 7(PUM7)
249236_at	AT5G41950	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G41950)
256690_at	AT3G32160	Arabidopsis thaliana	hypothetical protein(AT3G32160)
250982_at	AT5G03150	Arabidopsis thaliana	C2H2-like zinc finger protein(JKD)
252888_at	AT4G39210	Arabidopsis thaliana	Glucose-1-phosphate adenylyltransferase family protein(APL3)
255913_at	AT1G66980	Arabidopsis thaliana	suppressor of npr1-1 constitutive 4(SNC4)
250741_at	AT5G05790	Arabidopsis thaliana	Duplicated homeodomain-like superfamily protein(AT5G05790)
262535_at	AT1G17000	Arabidopsis thaliana	trehalose-phosphatase/synthase 3(TPS3)
261091_at	AT1G07550	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT1G07550)
254795_at	AT4G12990	Arabidopsis thaliana	transmembrane protein(AT4G12990)
257820_at	AT3G25220	Arabidopsis thaliana	FK506-binding protein 15 kD-1(FKBP15-1)
259714_at	AT1G60980	Arabidopsis thaliana	gibberellin 20-oxidase 4(GA20OX4)
256689_at	AT3G32150	Arabidopsis thaliana	myosin heavy chain-like protein(AT3G32150)
247656_at	AT5G59890	Arabidopsis thaliana	actin depolymerizing factor 4(ADF4)
255925_at	AT1G22200	Arabidopsis thaliana	Endoplasmic reticulum vesicle transporter protein(AT1G22200)
264695_at	AT1G70250	Arabidopsis thaliana	receptor serine/threonine kinase(AT1G70250)
266010_at	AT2G37430	Arabidopsis thaliana	C2H2 and C2HC zinc fingers superfamily protein(ZAT11)
249563_at	AT5G38360	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT5G38360)
266475_at	AT2G31100	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT2G31100)
247329_at	AT5G64150	Arabidopsis thaliana	RNA methyltransferase family protein(AT5G64150)
247342_at	AT5G63730	Arabidopsis thaliana	IBR domain-containing protein(ARI14)
257001_at	AT3G14080	Arabidopsis thaliana	Small nuclear ribonucleoprotein family protein(LSM1B)
257807_at	AT3G26650	Arabidopsis thaliana	glyceraldehyde 3-phosphate dehydrogenase A subunit(GAPA)
249551_at	AT5G38220	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT5G38220)
249792_at	AT5G23720	Arabidopsis thaliana	dual specificity protein phosphatase family protein(PHS1)
245774_at	AT1G30210	Arabidopsis thaliana	TEOSINTE BRANCHED 1, cycloidea, and PCF family 24(TCP24)
248679_at	AT5G48830	Arabidopsis thaliana	phosphoglycolate phosphatase(AT5G48830)
245991_at	AT5G20660	Arabidopsis thaliana	Zn-dependent exopeptidases superfamily protein(AT5G20660)
264430_at	AT1G61680	Arabidopsis thaliana	terpene synthase 14(TPS14)
261222_at	AT1G20120	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G20120)
264127_at	AT1G79250	Arabidopsis thaliana	AGC kinase 1.7(AGC1.7)
248896_at	AT5G46350	Arabidopsis thaliana	WRKY DNA-binding protein 8(WRKY8)
259702_at	AT1G77780	Arabidopsis thaliana	Glycosyl hydrolase superfamily protein(AT1G77780)
263128_at	AT1G78600	Arabidopsis thaliana	light-regulated zinc finger protein 1(LZF1)
260653_at	AT1G32440	Arabidopsis thaliana	plastidial pyruvate kinase 3(PKp3)
256677_at	AT3G52190	Arabidopsis thaliana	phosphate transporter traffic facilitator1(PHF1)
250969_at	AT5G02740	Arabidopsis thaliana	Ribosomal protein S24e family protein(AT5G02740)
250728_at	AT5G06440	Arabidopsis thaliana	polyketide cyclase/dehydrase/lipid transport superfamily protein(AT5G06440)
262233_at	AT1G48310	Arabidopsis thaliana	chromatin remodeling factor18(CHR18)
249936_at	AT5G22450	Arabidopsis thaliana	spectrin beta chain, brain(AT5G22450)
247354_at	AT5G63590	Arabidopsis thaliana	flavonol synthase 3(FLS3)
246875_at	AT5G26130	Arabidopsis thaliana	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT5G26130)
247317_at	AT5G64060	Arabidopsis thaliana	NAC domain containing protein 103(NAC103)
250994_at	AT5G02490	Arabidopsis thaliana	Heat shock protein 70 (Hsp 70) family protein(Hsp70-2)
249212_at	AT5G42690	Arabidopsis thaliana	transcription factor, putative (Protein of unknown function, DUF547)(AT5G42690)
249900_at	AT5G22640	Arabidopsis thaliana	MORN (Membrane Occupation and Recognition Nexus) repeat-containing protein(emb1211)
246187_at	AT5G21020	Arabidopsis thaliana	transmembrane protein(AT5G21020)
247897_at	AT5G57810	Arabidopsis thaliana	tetraspanin15(TET15)
249248_at	AT5G42320	Arabidopsis thaliana	Zn-dependent exopeptidases superfamily protein(AT5G42320)
262547_at	AT1G31270	Arabidopsis thaliana	hypothetical protein(AT1G31270)
245321_at	AT4G15545	Arabidopsis thaliana	PH-response transcription factor(AT4G15545)
252623_at	AT3G45320	Arabidopsis thaliana	transmembrane protein(AT3G45320)
254783_at	AT4G12830	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT4G12830)
260092_at	AT1G73280	Arabidopsis thaliana	serine carboxypeptidase-like 3(scpl3)
266022_at	AT2G05920	Arabidopsis thaliana	Subtilase family protein(AT2G05920)
252082_at	AT3G51940	Arabidopsis thaliana	oxidoreductase/transition metal ion-binding protein(AT3G51940)
245737_at	AT1G44160	Arabidopsis thaliana	HSP40/DnaJ peptide-binding protein(AT1G44160)
257991_at	AT3G19870	Arabidopsis thaliana	AP-5 complex subunit beta-like protein(AT3G19870)
260418_s_at	AT1G66590	Arabidopsis thaliana	cytochrome c oxidase 19-1(COX19-1)
264140_at	AT1G79210	Arabidopsis thaliana	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein(AT1G79210)
249596_s_at	AT5G37950	Arabidopsis thaliana	UDP-Glycosyltransferase superfamily protein(AT5G37950)
250716_at	AT5G06170	Arabidopsis thaliana	sucrose-proton symporter 9(SUC9)
248082_at	AT5G55400	Arabidopsis thaliana	Actin binding Calponin homology (CH) domain-containing protein(AT5G55400)
256665_at	AT3G20700	Arabidopsis thaliana	F-box associated ubiquitination effector family protein(AT3G20700)
251612_at	AT3G57950	Arabidopsis thaliana	cotton fiber protein(AT3G57950)
262572_at	AT1G15140	Arabidopsis thaliana	FAD/NAD(P)-binding oxidoreductase(AT1G15140)
254517_at	AT4G20310	Arabidopsis thaliana	Peptidase M50 family protein(AT4G20310)
249538_at	AT5G38840	Arabidopsis thaliana	SMAD/FHA domain-containing protein(AT5G38840)
255118_at	AT4G08790	Arabidopsis thaliana	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase family protein(AT4G08790)
263141_at	AT1G65210	Arabidopsis thaliana	Galactose-binding protein(AT1G65210)
266046_at	AT2G07728	Arabidopsis thaliana	hypothetical protein(AT2G07728)
248643_at	AT5G49130	Arabidopsis thaliana	MATE efflux family protein(AT5G49130)
264139_at	AT1G78940	Arabidopsis thaliana	kinase with adenine nucleotide alpha hydrolases-like domain-containing protein(AT1G78940)
256653_at	AT3G18870	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(AT3G18870)
251481_at	AT3G59730	Arabidopsis thaliana	Concanavalin A-like lectin protein kinase family protein(AT3G59730)
260677_at	AT1G07910	Arabidopsis thaliana	RNAligase(RNL)
252611_at	AT3G45130	Arabidopsis thaliana	lanosterol synthase 1(LAS1)
265849_at	AT2G35736	Arabidopsis thaliana	hypothetical protein(AT2G35736)
254758_at	AT4G13260	Arabidopsis thaliana	Flavin-binding monooxygenase family protein(YUC2)
266034_at	AT2G06005	Arabidopsis thaliana	FRIGIDA interacting protein 1(FIP1)
252094_at	AT3G51260	Arabidopsis thaliana	20S proteasome alpha subunit PAD1(PAD1)
266888_s_at	AT2G44750	Arabidopsis thaliana	thiamin pyrophosphokinase 2(TPK2)
258433_at	AT3G16640	Arabidopsis thaliana	translationally controlled tumor protein(TCTP)
262245_at	AT1G48240	Arabidopsis thaliana	Putative plant snare 12(NPSN12)
257013_at	AT3G26922	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT3G26922)
264152_at	AT1G02140	Arabidopsis thaliana	mago nashi family protein(MAGO)
263702_at	AT1G31240	Arabidopsis thaliana	Bromodomain transcription factor(AT1G31240)
250704_at	AT5G06265	Arabidopsis thaliana	hyaluronan mediated motility receptor-like protein(AT5G06265)
264466_at	AT1G10380	Arabidopsis thaliana	Putative membrane lipoprotein(AT1G10380)
252864_at	AT4G39740	Arabidopsis thaliana	Thioredoxin superfamily protein(HCC2)
262257_at	AT1G53860	Arabidopsis thaliana	Remorin family protein(AT1G53860)
248094_at	AT5G55220	Arabidopsis thaliana	trigger factor type chaperone family protein(AT5G55220)
251600_at	AT3G57710	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G57710)
250970_at	AT5G02770	Arabidopsis thaliana	Protein MODIFIER OF SNC1 11(MOS11)
254505_at	AT4G19985	Arabidopsis thaliana	Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT4G19985)
262933_at	AT1G65840	Arabidopsis thaliana	polyamine oxidase 4(PAO4)
265850_at	AT2G35720	Arabidopsis thaliana	DNAJ heat shock N-terminal domain-containing protein(OWL1)
252876_at	AT4G39970	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT4G39970)
254771_at	AT4G13380	Arabidopsis thaliana	Heavy metal transport/detoxification superfamily protein(MEE56)
263955_at	AT2G36010	Arabidopsis thaliana	E2F transcription factor 3(E2F3)
255901_at	AT1G17890	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(GER2)
262559_at	AT1G31300	Arabidopsis thaliana	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein(AT1G31300)
246199_at	AT4G36530	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT4G36530)
245750_at	AT1G51060	Arabidopsis thaliana	histone H2A 10(HTA10)
248655_at	AT5G48760	Arabidopsis thaliana	Ribosomal protein L13 family protein(AT5G48760)
257978_at	AT3G20860	Arabidopsis thaliana	Serine/Threonine kinase catalytic domain protein(NEK5)
255566_s_at	AT3G48670	Arabidopsis thaliana	XH/XS domain-containing protein(IDN2)
249924_at	AT5G19280	Arabidopsis thaliana	kinase associated protein phosphatase(KAPP)
246899_at	AT5G25590	Arabidopsis thaliana	DNA ligase (DUF630 and DUF632)(AT5G25590)
255527_at	AT4G02360	Arabidopsis thaliana	transmembrane protein, putative (Protein of unknown function, DUF538)(AT4G02360)
260707_s_at	AT1G32410	Arabidopsis thaliana	Vacuolar protein sorting 55 (VPS55) family protein(AT1G32410)
247680_s_at	AT1G61210	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(DWA3)
249224_at	AT5G42130	Arabidopsis thaliana	Mitochondrial substrate carrier family protein(Mfl1)
261807_at	AT1G30515	Arabidopsis thaliana	GATA zinc finger protein(AT1G30515)
245749_at	AT1G51090	Arabidopsis thaliana	Heavy metal transport/detoxification superfamily protein(AT1G51090)
260351_at	AT1G69380	Arabidopsis thaliana	sporulation protein (DUF155)(RRG)
255131_at	AT4G08280	Arabidopsis thaliana	Thioredoxin superfamily protein(AT4G08280)
245308_at	AT4G17486	Arabidopsis thaliana	PPPDE putative thiol peptidase family protein(AT4G17486)
257291_at	AT3G15590	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G15590)
257025_at	AT3G19190	Arabidopsis thaliana	autophagy 2(ATG2)
260665_at	AT1G19360	Arabidopsis thaliana	Nucleotide-diphospho-sugar transferase family protein(RRA3)
264454_at	AT1G10320	Arabidopsis thaliana	Zinc finger C-x8-C-x5-C-x3-H type family protein(AT1G10320)
259185_at	AT3G01550	Arabidopsis thaliana	phosphoenolpyruvate (pep)/phosphate translocator 2(PPT2)
252714_x_at	AT3G43880	Arabidopsis thaliana	hypothetical protein(AT3G43880)
251349_s_at	AT3G11030	Arabidopsis thaliana	TRICHOME BIREFRINGENCE-LIKE 32(TBL32)
258421_at	AT3G16690	Arabidopsis thaliana	Nodulin MtN3 family protein(SWEET16)
261246_at	AT1G20080	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) family protein(SYTB)
266861_at	AT2G26830	Arabidopsis thaliana	Protein kinase superfamily protein(emb1187)
252491_at	AT3G46730	Arabidopsis thaliana	NB-ARC domain-containing disease resistance protein(AT3G46730)
250469_at	AT5G10130	Arabidopsis thaliana	Pollen Ole e 1 allergen and extensin family protein(AT5G10130)
251130_at	AT5G01180	Arabidopsis thaliana	peptide transporter 5(PTR5)
253036_at	AT4G38340	Arabidopsis thaliana	Plant regulator RWP-RK family protein(AT4G38340)
257359_x_at	AT2G34290	Arabidopsis thaliana	Protein kinase superfamily protein(AT2G34290)
258747_at	AT3G05810	Arabidopsis thaliana	IGR motif protein(AT3G05810)
251211_s_at	AT3G62470	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT3G62470)
255515_at	AT4G02250	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily protein(AT4G02250)
262945_at	AT1G79510	Arabidopsis thaliana	hypothetical protein (DUF2358)(AT1G79510)
257410_at	AT1G24340	Arabidopsis thaliana	FAD/NAD(P)-binding oxidoreductase family protein(EMB2421)
258289_at	AT3G23450	Arabidopsis thaliana	transmembrane protein(AT3G23450)
266071_at	AT2G18670	Arabidopsis thaliana	RING/U-box superfamily protein(AT2G18670)
245942_at	AT5G19490	Arabidopsis thaliana	Histone superfamily protein(AT5G19490)
267201_at	AT2G31010	Arabidopsis thaliana	Protein kinase superfamily protein(AT2G31010)
245128_at	AT2G45380	Arabidopsis thaliana	myeloid leukemia factor(AT2G45380)
264966_at	AT1G60570	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(AT1G60570)
262028_at	AT1G35560	Arabidopsis thaliana	TCP family transcription factor(AT1G35560)
265284_at	AT2G20230	Arabidopsis thaliana	Tetraspanin family protein(AT2G20230)
245370_at	AT4G16840	Arabidopsis thaliana	transmembrane protein(AT4G16840)
247848_at	AT5G58120	Arabidopsis thaliana	Disease resistance protein (TIR-NBS-LRR class) family(AT5G58120)
260122_at	AT1G33900	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G33900)
248384_at	AT5G51930	Arabidopsis thaliana	Glucose-methanol-choline (GMC) oxidoreductase family protein(AT5G51930)
245701_at	AT5G04140	Arabidopsis thaliana	glutamate synthase 1(GLU1)
251805_at	AT3G55530	Arabidopsis thaliana	RING/U-box superfamily protein(SDIR1)
258290_at	AT3G23460	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G23460)
247607_at	AT5G60960	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(PNM1)
245954_at	AT5G28530	Arabidopsis thaliana	FAR1-related sequence 10(FRS10)
260134_at	AT1G66370	Arabidopsis thaliana	myb domain protein 113(MYB113)
246489_at	AT5G16050	Arabidopsis thaliana	general regulatory factor 5(GRF5)
246500_at	AT5G16270	Arabidopsis thaliana	sister chromatid cohesion 1 protein 4(SYN4)
265306_at	AT2G20320	Arabidopsis thaliana	DENN (AEX-3) domain-containing protein(AT2G20320)
260031_at	AT1G68790	Arabidopsis thaliana	little nuclei3(LINC3)
257409_at	AT2G17470	Arabidopsis thaliana	aluminum activated malate transporter family protein(ALMT6)
266402_at	AT2G38780	Arabidopsis thaliana	cytochrome C oxidase subunit(AT2G38780)
257496_s_at	AT2G43730	Arabidopsis thaliana	Mannose-binding lectin superfamily protein(AT2G43730)
249514_at	AT5G38480	Arabidopsis thaliana	general regulatory factor 3(GRF3)
247619_at	AT5G60290	Arabidopsis thaliana	hypothetical protein(AT5G60290)
264176_at	AT1G02110	Arabidopsis thaliana	bZIP domain class transcription factor (DUF630 and DUF632)(AT1G02110)
263377_at	AT2G40220	Arabidopsis thaliana	Integrase-type DNA-binding superfamily protein(ABI4)
260363_at	AT1G70550	Arabidopsis thaliana	NEP-interacting protein, putative (DUF239)(AT1G70550)
265272_at	AT2G28350	Arabidopsis thaliana	auxin response factor 10(ARF10)
245369_at	AT4G15975	Arabidopsis thaliana	RING/U-box superfamily protein(AT4G15975)
250470_at	AT5G10160	Arabidopsis thaliana	Thioesterase superfamily protein(AT5G10160)
250228_at	AT5G13840	Arabidopsis thaliana	FIZZY-related 3(FZR3)
259305_at	AT3G05070	Arabidopsis thaliana	Cwf18 pre-mRNA splicing factor(AT3G05070)
260018_at	AT1G41820	Arabidopsis thaliana	hypothetical protein(AT1G41820)
266655_at	AT2G25880	Arabidopsis thaliana	ataurora2(AUR2)
257378_s_at	AT2G02290	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT2G02290)
266083_at	AT2G37820	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT2G37820)
249743_at	AT5G24540	Arabidopsis thaliana	beta glucosidase 31(BGLU31)
245930_at	AT5G09240	Arabidopsis thaliana	ssDNA-binding transcriptional regulator(AT5G09240)
245357_at	AT4G17560	Arabidopsis thaliana	Ribosomal protein L19 family protein(AT4G17560)
260110_at	AT1G63350	Arabidopsis thaliana	Disease resistance protein (CC-NBS-LRR class) family(AT1G63350)
262041_at	AT1G80100	Arabidopsis thaliana	histidine phosphotransfer protein 6(HP6)
265296_at	AT2G14060	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT2G14060)
264954_at	AT1G77060	Arabidopsis thaliana	Phosphoenolpyruvate carboxylase family protein(AT1G77060)
248396_at	AT5G52130	Arabidopsis thaliana	hypothetical protein(AT5G52130)
247861_at	AT5G58160	Arabidopsis thaliana	actin binding protein(AT5G58160)
246465_at	AT5G16980	Arabidopsis thaliana	Zinc-binding dehydrogenase family protein(AT5G16980)
266667_at	AT2G29770	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(AT2G29770)
248418_at	AT5G51660	Arabidopsis thaliana	cleavage and polyadenylation specificity factor 160(CPSF160)
266058_at	AT2G40690	Arabidopsis thaliana	NAD-dependent glycerol-3-phosphate dehydrogenase family protein(GLY1)
253506_at	AT4G31980	Arabidopsis thaliana	PPPDE thiol peptidase family protein(AT4G31980)
251142_at	AT5G01015	Arabidopsis thaliana	transmembrane protein(AT5G01015)
256853_at	AT3G18640	Arabidopsis thaliana	Zinc finger C-x8-C-x5-C-x3-H type family protein(AT3G18640)
256281_at	AT3G12560	Arabidopsis thaliana	TRF-like 9(TRFL9)
254373_at	AT4G21740	Arabidopsis thaliana	transmembrane protein(AT4G21740)
253048_at	AT4G37560	Arabidopsis thaliana	Acetamidase/Formamidase family protein(AT4G37560)
258759_at	AT3G10800	Arabidopsis thaliana	Basic-leucine zipper (bZIP) transcription factor family protein(BZIP28)
258277_at	AT3G26830	Arabidopsis thaliana	Cytochrome P450 superfamily protein(PAD3)
249526_at	AT5G38560	Arabidopsis thaliana	Protein kinase superfamily protein(PERK8)
263365_at	AT2G20550	Arabidopsis thaliana	HSP40/DnaJ peptide-binding protein(AT2G20550)
247620_at	AT5G60310	Arabidopsis thaliana	Concanavalin A-like lectin protein kinase family protein(AT5G60310)
251117_at	AT3G63390	Arabidopsis thaliana	hypothetical protein(AT3G63390)
256267_at	AT3G12260	Arabidopsis thaliana	LYR family of Fe/S cluster biogenesis protein(AT3G12260)
245929_at	AT5G24760	Arabidopsis thaliana	GroES-like zinc-binding dehydrogenase family protein(AT5G24760)
250482_at	AT5G10320	Arabidopsis thaliana	ATP synthase subunit B(AT5G10320)
260109_at	AT1G63260	Arabidopsis thaliana	tetraspanin10(TET10)
260375_at	AT1G73950	Arabidopsis thaliana	Transmembrane Fragile-X-F-associated protein(AT1G73950)
264164_at	AT1G65295	Arabidopsis thaliana	ubiquitin carboxyl-terminal hydrolase(AT1G65295)
251830_at	AT3G55010	Arabidopsis thaliana	phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)(PUR5)
266095_at	AT2G38050	Arabidopsis thaliana	3-oxo-5-alpha-steroid 4-dehydrogenase family protein(DET2)
250216_at	AT5G14090	Arabidopsis thaliana	regulator of nonsense transcript protein(AT5G14090)
249755_at	AT5G24580	Arabidopsis thaliana	Heavy metal transport/detoxification superfamily protein(AT5G24580)
245966_at	AT5G19790	Arabidopsis thaliana	related to AP2 11(RAP2.11)
267225_at	AT2G44000	Arabidopsis thaliana	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT2G44000)
267191_at	AT2G44110	Arabidopsis thaliana	Seven transmembrane MLO family protein(MLO15)
261607_at	AT1G49660	Arabidopsis thaliana	carboxyesterase 5(CXE5)
262004_at	AT1G64480	Arabidopsis thaliana	calcineurin B-like protein 8(CBL8)
247824_at	AT5G58460	Arabidopsis thaliana	cation/H+ exchanger 25(CHX25)
260146_at	AT1G52770	Arabidopsis thaliana	Phototropic-responsive NPH3 family protein(AT1G52770)
255503_at	AT4G02420	Arabidopsis thaliana	Concanavalin A-like lectin protein kinase family protein(AT4G02420)
246490_at	AT5G15950	Arabidopsis thaliana	Adenosylmethionine decarboxylase family protein(AT5G15950)
259317_at	AT3G01100	Arabidopsis thaliana	hypothetical protein 1(HYP1)
266848_at	AT2G25950	Arabidopsis thaliana	PITH domain protein (DUF1000)(AT2G25950)
252478_at	AT3G46540	Arabidopsis thaliana	ENTH/VHS family protein(AT3G46540)
265260_at	AT2G43000	Arabidopsis thaliana	NAC domain containing protein 42(NAC042)
245394_at	AT4G16450	Arabidopsis thaliana	NADH-ubiquinone oxidoreductase(AT4G16450)
245978_at	AT5G13130	Arabidopsis thaliana	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein(AT5G13130)
267154_at	AT2G30870	Arabidopsis thaliana	glutathione S-transferase PHI 10(GSTF10)
267395_at	AT2G44250	Arabidopsis thaliana	tRNA-splicing ligase, putative (DUF239)(AT2G44250)
256293_at	AT1G69440	Arabidopsis thaliana	Argonaute family protein(AGO7)
260399_at	AT1G72520	Arabidopsis thaliana	PLAT/LH2 domain-containing lipoxygenase family protein(LOX4)
258772_at	AT3G10860	Arabidopsis thaliana	Cytochrome b-c1 complex, subunit 8 protein(AT3G10860)
249779_at	AT5G24230	Arabidopsis thaliana	Lipase class 3-related protein(AT5G24230)
259329_at	AT3G16360	Arabidopsis thaliana	HPT phosphotransmitter 4(AHP4)
245917_at	AT5G28740	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G28740)
245345_at	AT4G16640	Arabidopsis thaliana	Matrixin family protein(AT4G16640)
254398_at	AT4G21280	Arabidopsis thaliana	photosystem II subunit QA(PSBQA)
248359_at	AT5G52410	Arabidopsis thaliana	oxidoreductase/transition metal ion-binding protein(AT5G52410)
263353_at	AT2G22070	Arabidopsis thaliana	pentatricopeptide (PPR) repeat-containing protein(AT2G22070)
257423_at	AT1G62010	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(AT1G62010)
262932_at	AT1G65820	Arabidopsis thaliana	microsomal glutathione s-transferase(AT1G65820)
266438_at	AT2G43180	Arabidopsis thaliana	Phosphoenolpyruvate carboxylase family protein(AT2G43180)
262970_at	AT1G75690	Arabidopsis thaliana	DnaJ/Hsp40 cysteine-rich domain superfamily protein(LQY1)
257568_s_at	AT3G23950	Arabidopsis thaliana	F-box family protein(AT3G23950)
263424_at	AT2G31510	Arabidopsis thaliana	IBR domain-containing protein(ARI7)
252454_at	AT3G47130	Arabidopsis thaliana	F-box associated ubiquitination effector family protein(AT3G47130)
253518_at	AT4G31400	Arabidopsis thaliana	protein CTF7(CTF7)
249780_at	AT5G24240	Arabidopsis thaliana	phosphatidylinositol 4-kinase gamma-like protein(AT5G24240)
256865_at	AT3G23820	Arabidopsis thaliana	UDP-D-glucuronate 4-epimerase 6(GAE6)
245333_at	AT4G14615	Arabidopsis thaliana	sporulation-specific protein(AT4G14615)
254361_at	AT4G22212	Arabidopsis thaliana	defensin-like protein(AT4G22212)
258150_at	AT3G18160	Arabidopsis thaliana	peroxin 3-1(PEX3-1)
251624_at	AT3G57280	Arabidopsis thaliana	Transmembrane proteins 14C(AT3G57280)
247812_at	AT5G58390	Arabidopsis thaliana	Peroxidase superfamily protein(AT5G58390)
246682_at	AT5G33290	Arabidopsis thaliana	xylogalacturonan deficient 1(XGD1)
262969_at	AT1G75710	Arabidopsis thaliana	C2H2-like zinc finger protein(AT1G75710)
246536_at	AT5G15920	Arabidopsis thaliana	structural maintenance of chromosomes 5(SMC5)
262982_at	AT1G54390	Arabidopsis thaliana	PHD finger protein-like protein(ING2)
248431_at	AT5G51470	Arabidopsis thaliana	Auxin-responsive GH3 family protein(AT5G51470)
