GeneID	RF01	RF02	RF03	RF04	RF05	RF06	RF07	RF08	RF09	RF10	RF11	RF12
AT5G46160	412	397	361	540	505	459	262	249	187	672	555	564
AT5G46170	458	530	573	469	428	447	827	946	857	669	559	620
AT5G46180	628	672	747	1045	915	1134	1619	1548	1510	1147	1109	1033
AT5G46190	716	839	1008	739	720	749	605	722	504	728	639	672
AT5G46195	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46200	0	0	0	0	0	0	0	0	0	1	0	0
AT5G46210	1874	1817	2239	2249	2029	2249	2114	2131	1954	2757	2416	2309
AT5G46220	6	5	3	16	8	3	5	3	12	0	11	3
AT5G46230	72	58	70	127	141	200	83	70	58	321	209	260
AT5G46240	119	152	158	198	215	227	34	26	22	82	95	94
AT5G46250	3664	3618	3855	3138	3039	3344	5931	6933	5967	2973	2772	2779
AT5G46260	47.27	46.743	70.499	36.642	60.088	52.247	26.063	24.994	14.215	13.169	7.274	8.095
AT5G46270	683.672	915	777.861	305	258	350	713	699	502	197	173.366	168
AT5G46280	300	303	437	492	443	410	157	192	177	690	669	661
AT5G46290	3907	3988	4570	3095	3254	2552	2372	2494	2170	3858	3520	3472
AT5G46295	3	2	0	3	10	19	8	5	14	6	10	20
AT5G46300	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46310	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46315	0	0	0	2	2	1	0	0	1.041	2	2	0
AT5G46320	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46330	388	387	568	846	771	743	692	830	671	650	693	536
AT5G46340	539	550	657	663	616	678	773	745	671	744	728	710
AT5G46350	24	23	53	44	48	59	233	185	221	25	16	16
AT5G46360	3	2	8	0	1	0	0	0	0	3	1	0
AT5G46370	1	2	0	1	3	3	3	0	0	12	10	1
AT5G46380	1	0	0	1	2	0	0	0	0	4	6	4
AT5G46390	556	654	529	347	331	277	485	597	470	184	210	209
AT5G46400	355	359	444	430	430	438	325	379	291	427	361	376
AT5G46410	1032	975	1260	929	763	1015	1261	1367	1154	793	690	710
AT5G46417	1	0	1	0	0	0	0	0	1	0	2	0
AT5G46420	2299	2710	2388	2568	2297	1873	1767	1768	1648	1767	1625	1534
AT5G46430	4098	4991	4388	5281	5060	4995	2934	2952	2412	4671	4527	5007
AT5G46440	50	23	61	25	21	17	33	24	28	15	12	12
AT5G46450	1206	1274	1473	445	509	480	996	1149	898	351	360	236
AT5G46460	101	101	147	126	80	91	64	63	47	97	103	108
AT5G46470	1245	1264	1701	1605	1375	1928	1572	1501	1381	1273	1028	1036
AT5G46490	610.94	753.257	744.595	338.358	308.912	457.867	453.937	454.906	332.785	113.831	105.726	112.904
AT5G46500	124.79	121	170.906	62	60	125.886	103	65.895	64	15	17	21
AT5G46510	826.987	813.588	1075.596	772.084	740.363	849.106	556.248	526.319	487.924	787.113	719.909	684.052
AT5G46520	142.341	173.412	171.543	235.916	226.637	331.894	249.752	240.886	151.076	310.887	201.725	204.948
AT5G46530	11	20	16	54	35	53	7	11	11	28	59	56
AT5G46540	0	0	2	3	0	2	0	0	0	2	1	5
AT5G46550	407	416	412	548	519	529	361	408	360	526	521	509
AT5G46560	336	350	380	391	374	415	398	376	387	427	428	405
AT5G46570	281	322	353	410	470	406	272	262	217	691	604	627
AT5G46580	1616	1857	1696	1663	1529	1093	904	949	919	1158	1407	1186
AT5G46590	9	10	8	10	16	21	22	29	19	44	48	29
AT5G46595	0	0	0	0	0	0	0	0	0	0	0	0
