From	Entrez	Species	Description
AT2G28320	817379	Arabidopsis thaliana	Pleckstrin homology (PH) and lipid-binding START domains-containing protein(AT2G28320)
AT5G35170	833471	Arabidopsis thaliana	adenylate kinase family protein(AT5G35170)
AT4G00891	6241147	Arabidopsis thaliana	miscRNA(AT4G00891)
AT4G00890	826266	Arabidopsis thaliana	proline-rich family protein(AT4G00890)
AT4G00895	827987	Arabidopsis thaliana	ATPase, F1 complex, OSCP/delta subunit protein(AT4G00895)
AT4G00893	5008108	Arabidopsis thaliana	F-box/kelch-repeat protein(AT4G00893)
AT2G43932	7922537	Arabidopsis thaliana	miscRNA(AT2G43932)
AT2G16330	816129	Arabidopsis thaliana	hypothetical protein(AT2G16330)
AT2G18990	816416	Arabidopsis thaliana	thioredoxin-like/ATP-binding protein(TXND9)
AT5G23180	832382	Arabidopsis thaliana	mediator-associated-like protein(AT5G23180)
AT1G03600	839449	Arabidopsis thaliana	photosystem II family protein(PSB27)
AT4G12870	826899	Arabidopsis thaliana	Gamma interferon responsive lysosomal thiol (GILT) reductase family protein(AT4G12870)
AT2G28315	817378	Arabidopsis thaliana	Nucleotide/sugar transporter family protein(AT2G28315)
AT4G10210	826612	Arabidopsis thaliana	transmembrane protein, putative (DUF239)(AT4G10210)
AT2G43930	818997	Arabidopsis thaliana	Protein kinase superfamily protein(AT2G43930)
AT5G35160	833470	Arabidopsis thaliana	Endomembrane protein 70 protein family(AT5G35160)
AT2G28310	817377	Arabidopsis thaliana	trimethylguanosine synthase (DUF707)(AT2G28310)
AT2G31953	3767941	Arabidopsis thaliana	low-molecular-weight cysteine-rich 76(LCR76)
AT2G31955	817754	Arabidopsis thaliana	cofactor of nitrate reductase and xanthine dehydrogenase 2(CNX2)
AT2G31957	3768007	Arabidopsis thaliana	low-molecular-weight cysteine-rich 75(LCR75)
AT2G04360	814975	Arabidopsis thaliana	transmembrane protein(AT2G04360)
AT2G04380	814977	Arabidopsis thaliana	hypothetical protein(AT2G04380)
AT4G00880	827989	Arabidopsis thaliana	SAUR-like auxin-responsive protein family(AT4G00880)
AT5G01820	831765	Arabidopsis thaliana	serine/threonine protein kinase 1(SR1)
AT3G27470	822368	Arabidopsis thaliana	lysine ketoglutarate reductase trans-splicing protein (DUF707)(AT3G27470)
AT4G00885	3770111	Arabidopsis thaliana	miscRNA(MIR165b)
AT3G52430	824408	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(PAD4)
AT3G27473	822369	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT3G27473)
AT1G64590	842767	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT1G64590)
AT2G16367	28718279	Arabidopsis thaliana	miscRNA(AT2G16367)
AT2G16365	816133	Arabidopsis thaliana	F-box family protein(AT2G16365)
AT5G62780	836399	Arabidopsis thaliana	Chaperone DnaJ-domain superfamily protein(AT5G62780)
AT4G09210	826503	Arabidopsis thaliana	transmembrane protein(AT4G09210)
AT2G16360	816132	Arabidopsis thaliana	40S ribosomal protein S25(AT2G16360)
AT5G13800	831225	Arabidopsis thaliana	pheophytinase(PPH)
AT5G47140	834760	Arabidopsis thaliana	GATA transcription factor 27(GATA27)
AT2G16370	816134	Arabidopsis thaliana	thymidylate synthase 1(THY-1)
AT4G12860	826898	Arabidopsis thaliana	EF hand calcium-binding protein family(UNE14)
AT5G60120	836134	Arabidopsis thaliana	target of early activation tagged (EAT) 2(TOE2)
AT3G15480	820787	Arabidopsis thaliana	fiber (DUF1218)(AT3G15480)
AT4G10200	826611	Arabidopsis thaliana	TTF-type zinc finger protein with HAT dimerization domain-containing protein(AT4G10200)
AT4G10201	7922441	Arabidopsis thaliana	miscRNA(AT4G10201)
AT2G04378	6241027	Arabidopsis thaliana	Beta-galactosidase related protein(AT2G04378)
AT5G50790	835151	Arabidopsis thaliana	Nodulin MtN3 family protein(SWEET10)
AT1G76570	843990	Arabidopsis thaliana	Chlorophyll A-B binding family protein(AT1G76570)
AT2G28340	817381	Arabidopsis thaliana	GATA transcription factor 13(GATA13)
AT5G59120	836030	Arabidopsis thaliana	subtilase 4.13(SBT4.13)
AT2G43980	819003	Arabidopsis thaliana	inositol 1,3,4-trisphosphate 5/6-kinase 4(ITPK4)
AT2G04390	814978	Arabidopsis thaliana	Ribosomal S17 family protein(AT2G04390)
AT3G27460	822367	Arabidopsis thaliana	SGF29 tudor-like domain-containing protein(SGF29a)
AT4G00870	827990	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G00870)
AT4G09205	3770003	Arabidopsis thaliana	hypothetical protein(AT4G09205)
AT3G52440	824409	Arabidopsis thaliana	Dof-type zinc finger DNA-binding family protein(AT3G52440)
AT4G00872	7922364	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily protein(AT4G00872)
AT5G62770	836398	Arabidopsis thaliana	membrane-associated kinase regulator, putative (DUF1645)(AT5G62770)
AT4G09200	826501	Arabidopsis thaliana	SPla/RYanodine receptor (SPRY) domain-containing protein(AT4G09200)
AT5G13810	831226	Arabidopsis thaliana	Glutaredoxin family protein(AT5G13810)
AT5G47150	834761	Arabidopsis thaliana	YDG/SRA domain-containing protein(AT5G47150)
AT3G15490	820788	Arabidopsis thaliana	Regulator of Vps4 activity in the MVB pathway protein(AT3G15490)
AT4G12850	826897	Arabidopsis thaliana	Far-red impaired responsive (FAR1) family protein(AT4G12850)
AT5G60110	836133	Arabidopsis thaliana	pumilio 18(PUM18)
AT1G52590	841691	Arabidopsis thaliana	Putative thiol-disulfide oxidoreductase DCC(AT1G52590)
AT1G76580	843991	Arabidopsis thaliana	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein(AT1G76580)
AT2G41330	818731	Arabidopsis thaliana	Glutaredoxin family protein(AT2G41330)
AT2G43990	819004	Arabidopsis thaliana	GPI-anchored adhesin-like protein(AT2G43990)
AT2G28330	817380	Arabidopsis thaliana	hypothetical protein(AT2G28330)
AT5G01830	831850	Arabidopsis thaliana	ARM repeat superfamily protein(SAUR21)
AT5G59130	836031	Arabidopsis thaliana	Subtilase family protein(AT5G59130)
AT5G01800	831924	Arabidopsis thaliana	saposin B domain-containing protein(AT5G01800)
AT2G28370	817385	Arabidopsis thaliana	Uncharacterized protein family (UPF0497)(AT2G28370)
AT2G31980	817757	Arabidopsis thaliana	PHYTOCYSTATIN 2(CYS2)
AT2G31981	6241371	Arabidopsis thaliana	hypothetical protein(AT2G31981)
AT3G52410	824406	Arabidopsis thaliana	hypothetical protein(AT3G52410)
AT4G00860	826213	Arabidopsis thaliana	monopolar spindle protein (DUF1138)(ATOZI1)
AT5G47160	834762	Arabidopsis thaliana	YDG/SRA domain-containing protein(AT5G47160)
AT5G60140	836136	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(AT5G60140)
AT2G16385	2745542	Arabidopsis thaliana	aspartate carbamoyltransferase(AT2G16385)
AT2G16390	816136	Arabidopsis thaliana	SNF2 domain-containing protein / helicase domain-containing protein(DRD1)
AT5G60142	6241172	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(AT5G60142)
AT4G12840	826896	Arabidopsis thaliana	GTPase Der (DUF707)(AT4G12840)
AT2G31985	817759	Arabidopsis thaliana	lipoprotein (DUF1264)(AT2G31985)
AT2G41300	818729	Arabidopsis thaliana	strictosidine synthase-like 1(SSL1)
AT1G76590	843992	Arabidopsis thaliana	PLATZ transcription factor family protein(AT1G76590)
AT1G52580	841690	Arabidopsis thaliana	RHOMBOID-like protein 5(RBL5)
AT2G43960	819001	Arabidopsis thaliana	SWAP (Suppressor-of-White-APricot)/surp domain-containing protein(AT2G43960)
AT2G04395	814979	Arabidopsis thaliana	Nucleic acid-binding, OB-fold-like protein(AT2G04395)
AT5G59140	836032	Arabidopsis thaliana	BTB/POZ domain-containing protein(AT5G59140)
AT5G01810	830556	Arabidopsis thaliana	CBL-interacting protein kinase 15(CIPK15)
AT2G28360	817384	Arabidopsis thaliana	SIT4 phosphatase-associated family protein(AT2G28360)
AT2G31990	817758	Arabidopsis thaliana	Exostosin family protein(AT2G31990)
AT3G27480	822370	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT3G27480)
AT3G52420	824407	Arabidopsis thaliana	outer envelope membrane protein 7(OEP7)
AT4G00850	827995	Arabidopsis thaliana	GRF1-interacting factor 3(GIF3)
AT5G62790	836400	Arabidopsis thaliana	1-deoxy-D-xylulose 5-phosphate reductoisomerase(DXR)
AT5G47170	834763	Arabidopsis thaliana	hypothetical protein(AT5G47170)
AT5G60130	836135	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(AT5G60130)
AT5G47175	3771459	Arabidopsis thaliana	low-molecular-weight cysteine-rich 3(LCR3)
AT2G16380	816135	Arabidopsis thaliana	Sec14p-like phosphatidylinositol transfer family protein(AT2G16380)
AT1G52570	841689	Arabidopsis thaliana	phospholipase D alpha 2(PLDALPHA2)
AT4G12830	826895	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT4G12830)
AT2G28355	817383	Arabidopsis thaliana	low-molecular-weight cysteine-rich 5(LCR5)
AT2G41312	5007951	Arabidopsis thaliana	ncRNA(AT2G41312)
AT5G59150	836033	Arabidopsis thaliana	RAB GTPase homolog A2D(RABA2D)
AT2G41310	818730	Arabidopsis thaliana	response regulator 3(RR3)
AT2G43970	819002	Arabidopsis thaliana	RNA-binding protein(LARP6b)
AT3G27490	822371	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT3G27490)
AT2G28350	817382	Arabidopsis thaliana	auxin response factor 10(ARF10)
AT2G28390	817387	Arabidopsis thaliana	SAND family protein(AT2G28390)
AT3G52470	824412	Arabidopsis thaliana	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT3G52470)
AT4G00840	826193	Arabidopsis thaliana	DHHC-type zinc finger family protein(AT4G00840)
AT1G64550	842763	Arabidopsis thaliana	general control non-repressible 3(ABCF3)
AT5G60160	836138	Arabidopsis thaliana	Zn-dependent exopeptidases superfamily protein(AT5G60160)
AT5G47180	834764	Arabidopsis thaliana	Plant VAMP (vesicle-associated membrane protein) family protein(AT5G47180)
AT4G12825	5008135	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G12825)
AT4G12820	826894	Arabidopsis thaliana	F-box/kelch-repeat protein, putative (DUF295)(AT4G12820)
AT1G76530	843986	Arabidopsis thaliana	Auxin efflux carrier family protein(AT1G76530)
AT5G59160	836034	Arabidopsis thaliana	type one serine/threonine protein phosphatase 2(TOPP2)
AT2G41360	818734	Arabidopsis thaliana	galactose oxidase/kelch repeat protein(AT2G41360)
AT2G28380	817386	Arabidopsis thaliana	dsRNA-binding protein 2(DRB2)
AT3G52480	824413	Arabidopsis thaliana	transmembrane protein(AT3G52480)
AT1G64561	6240702	Arabidopsis thaliana	hypothetical protein(AT1G64561)
AT4G00830	827998	Arabidopsis thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein(LIF2)
AT1G64560	842764	Arabidopsis thaliana	miscRNA(AT1G64560)
AT1G64563	6240835	Arabidopsis thaliana	ncRNA(AT1G64563)
AT4G12810	826893	Arabidopsis thaliana	F-box family protein(AT4G12810)
AT5G60150	836137	Arabidopsis thaliana	hypothetical protein(AT5G60150)
AT5G47190	834765	Arabidopsis thaliana	Ribosomal protein L19 family protein(AT5G47190)
AT2G41370	818735	Arabidopsis thaliana	Ankyrin repeat family protein / BTB/POZ domain-containing protein(BOP2)
AT1G76540	843987	Arabidopsis thaliana	cyclin-dependent kinase B2;1(CDKB2;1)
AT5G59170	836035	Arabidopsis thaliana	Proline-rich extensin-like family protein(AT5G59170)
AT3G52450	824410	Arabidopsis thaliana	plant U-box 22(PUB22)
AT1G64572	7922279	Arabidopsis thaliana	ncRNA(AT1G64572)
AT5G59190	836037	Arabidopsis thaliana	subtilase family protein(AT5G59190)
AT4G12800	826892	Arabidopsis thaliana	photosystem I subunit l(PSAL)
AT1G64570	842765	Arabidopsis thaliana	Homeodomain-like superfamily protein(DUO3)
AT5G60180	836140	Arabidopsis thaliana	pumilio 19(PUM19)
AT1G76550	843988	Arabidopsis thaliana	Phosphofructokinase family protein(AT1G76550)
AT2G41342	6240374	Arabidopsis thaliana	hypothetical protein(AT2G41342)
AT4G00820	828002	Arabidopsis thaliana	IQ-domain 17(iqd17)
AT5G59180	836036	Arabidopsis thaliana	DNA-directed RNA polymerase II(NRPB7)
AT2G41340	818732	Arabidopsis thaliana	RNA polymerase II fifth largest subunit, D(RPB5D)
AT3G52460	824411	Arabidopsis thaliana	hydroxyproline-rich glycoprotein family protein(AT3G52460)
AT1G64583	10723135	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G64583)
AT1G64585	5007834	Arabidopsis thaliana	ROTUNDIFOLIA like 22(RTFL22)
AT1G64580	842766	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT1G64580)
AT5G60170	836139	Arabidopsis thaliana	RNA binding (RRM/RBD/RNP motifs) family protein(AT5G60170)
AT4G00810	828004	Arabidopsis thaliana	60S acidic ribosomal protein family(AT4G00810)
AT1G76560	843989	Arabidopsis thaliana	CP12 domain-containing protein 3(CP12-3)
AT2G41350	818733	Arabidopsis thaliana	HAUS augmin-like complex subunit(AUG1)
AT5G25754	832643	Arabidopsis thaliana	RNA polymerase I-associated factor PAF67(AT5G25754)
AT1G64510	842759	Arabidopsis thaliana	Translation elongation factor EF1B/ribosomal protein S6 family protein(AT1G64510)
AT3G03540	821241	Arabidopsis thaliana	non-specific phospholipase C5(NPC5)
AT5G25750	832641	Arabidopsis thaliana	hypothetical protein(AT5G25750)
AT5G49720	835035	Arabidopsis thaliana	glycosyl hydrolase 9A1(GH9A1)
AT1G15580	838128	Arabidopsis thaliana	indole-3-acetic acid inducible 5(IAA5)
AT5G50717	5008304	Arabidopsis thaliana	ncRNA(MIR405b)
AT3G27510	822373	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT3G27510)
AT4G12900	826902	Arabidopsis thaliana	Gamma interferon responsive lysosomal thiol (GILT) reductase family protein(AT4G12900)
AT5G50715	3771481	Arabidopsis thaliana	hypothetical protein(AT5G50715)
AT5G37732	6241461	Arabidopsis thaliana	miscRNA(AT5G37732)
AT1G27565	5007731	Arabidopsis thaliana	hypothetical protein(AT1G27565)
AT5G11100	830978	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) family protein(SYTD)
AT5G62700	836391	Arabidopsis thaliana	tubulin beta chain 3(TUB3)
AT1G52520	841683	Arabidopsis thaliana	FAR1-related sequence 6(FRS6)
AT5G13760	831221	Arabidopsis thaliana	Plasma-membrane choline transporter family protein(AT5G13760)
AT5G37730	833751	Arabidopsis thaliana	hypothetical protein(AT5G37730)
AT1G27560	839647	Arabidopsis thaliana	miscRNA(AT1G27560)
AT1G15590	838129	Arabidopsis thaliana	E3 ubiquitin-protein ligase(AT1G15590)
AT1G03590	839447	Arabidopsis thaliana	Protein phosphatase 2C family protein(AT1G03590)
AT5G01780	831672	Arabidopsis thaliana	2-oxoglutarate-dependent dioxygenase family protein(AT5G01780)
AT4G00920	826366	Arabidopsis thaliana	COP1-interacting protein-like protein(AT4G00920)
AT3G15520	820791	Arabidopsis thaliana	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT3G15520)
AT5G25757	832644	Arabidopsis thaliana	RNA polymerase I-associated factor PAF67(AT5G25757)
AT1G64520	842760	Arabidopsis thaliana	regulatory particle non-ATPase 12A(RPN12a)
AT3G03550	821237	Arabidopsis thaliana	RING/U-box superfamily protein(AT3G03550)
AT5G50720	835144	Arabidopsis thaliana	HVA22 homologue E(HVA22E)
AT5G49730	835036	Arabidopsis thaliana	ferric reduction oxidase 6(FRO6)
AT1G27580	839649	Arabidopsis thaliana	F-box protein (DUF295)(AT1G27580)
AT3G27500	822372	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT3G27500)
AT3G27503	3768953	Arabidopsis thaliana	SCR-like 19(SCRL19)
AT1G52510	841682	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT1G52510)
AT5G37720	833750	Arabidopsis thaliana	ALWAYS EARLY 4(ALY4)
AT1G76500	843983	Arabidopsis thaliana	Putative AT-hook DNA-binding family protein(SOB3)
AT3G15530	820792	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G15530)
AT5G11110	830979	Arabidopsis thaliana	sucrose phosphate synthase 2F(SPS2F)
AT5G13770	831222	Arabidopsis thaliana	Pentatricopeptide repeat (PPR-like) superfamily protein(AT5G13770)
AT1G27570	839648	Arabidopsis thaliana	phosphatidylinositol 3- and 4-kinase family protein(AT1G27570)
AT4G00910	827985	Arabidopsis thaliana	aluminum activated malate transporter family protein(AT4G00910)
AT5G01790	831868	Arabidopsis thaliana	hypothetical protein(AT5G01790)
AT1G03580	3766651	Arabidopsis thaliana	miscRNA(AT1G03580)
AT3G15536	7922447	Arabidopsis thaliana	ncRNA(AT3G15536)
AT3G15534	28719274	Arabidopsis thaliana	hypothetical protein(AT3G15534)
AT3G03560	821235	Arabidopsis thaliana	hypothetical protein(AT3G03560)
AT5G49743	3771476	Arabidopsis thaliana	hypothetical protein(AT5G49743)
AT5G49746	3771477	Arabidopsis thaliana	hypothetical protein(AT5G49746)
AT1G15560	3766733	Arabidopsis thaliana	hypothetical protein(AT1G15560)
AT3G27530	822375	Arabidopsis thaliana	golgin Putative 6(GC6)
AT5G49740	835037	Arabidopsis thaliana	ferric reduction oxidase 7(FRO7)
AT1G64530	842761	Arabidopsis thaliana	Plant regulator RWP-RK family protein(AT1G64530)
AT2G41380	818736	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT2G41380)
AT5G37710	833749	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT5G37710)
AT1G76510	843984	Arabidopsis thaliana	ARID/BRIGHT DNA-binding domain-containing protein(AT1G76510)
AT5G62720	836393	Arabidopsis thaliana	Integral membrane HPP family protein(AT5G62720)
AT1G52500	841681	Arabidopsis thaliana	MUTM homolog-1(MMH-1)
AT3G15540	820793	Arabidopsis thaliana	indole-3-acetic acid inducible 19(IAA19)
AT4G00905	827986	Arabidopsis thaliana	NC domain-containing protein-like protein(AT4G00905)
AT5G13740	831219	Arabidopsis thaliana	zinc induced facilitator 1(ZIF1)
AT1G27540	839645	Arabidopsis thaliana	F-box protein (DUF295)(AT1G27540)
AT4G00900	827984	Arabidopsis thaliana	ER-type Ca2+-ATPase 2(ECA2)
AT3G15548	6241436	Arabidopsis thaliana	transmembrane protein(AT3G15548)
AT5G01760	831682	Arabidopsis thaliana	ENTH/VHS/GAT family protein(AT5G01760)
AT3G03570	821234	Arabidopsis thaliana	signal transducer, putative (DUF3550/UPF0682)(AT3G03570)
AT3G27520	822374	Arabidopsis thaliana	cryptic loci regulator(AT3G27520)
AT5G49750	835038	Arabidopsis thaliana	Leucine-rich repeat (LRR) family protein(AT5G49750)
AT5G50740	835146	Arabidopsis thaliana	Heavy metal transport/detoxification superfamily protein(AT5G50740)
AT1G15570	838127	Arabidopsis thaliana	CYCLIN A2;3(CYCA2;3)
AT1G64540	842762	Arabidopsis thaliana	F-box/FBD-like domains containing protein(AT1G64540)
AT5G62710	836392	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT5G62710)
AT2G41391	7922550	Arabidopsis thaliana	miscRNA(AT2G41391)
AT3G15550	820794	Arabidopsis thaliana	trichohyalin(AT3G15550)
AT2G41390	818737	Arabidopsis thaliana	Pollen Ole e 1 allergen and extensin family protein(AT2G41390)
AT5G13750	831220	Arabidopsis thaliana	zinc induced facilitator-like 1(ZIFL1)
AT1G27550	839646	Arabidopsis thaliana	F-box family protein(AT1G27550)
AT1G76520	843985	Arabidopsis thaliana	Auxin efflux carrier family protein(AT1G76520)
AT4G24800	828582	Arabidopsis thaliana	MA3 domain-containing protein(ECIP1)
AT5G01770	831681	Arabidopsis thaliana	regulatory-associated protein of TOR 2 (RAPTOR2)(RAPTOR2)
AT4G24805	828583	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G24805)
AT5G47100	834756	Arabidopsis thaliana	calcineurin B-like protein 9(CBL9)
AT5G01747	3770673	Arabidopsis thaliana	ncRNA(MIR164b)
AT5G50750	835147	Arabidopsis thaliana	reversibly glycosylated polypeptide 4(RGP4)
AT3G03580	821229	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G03580)
AT3G27550	822377	Arabidopsis thaliana	RNA-binding CRS1 / YhbY (CRM) domain protein(AT3G27550)
AT4G24810	828584	Arabidopsis thaliana	Protein kinase superfamily protein(AT4G24810)
AT5G49760	835039	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT5G49760)
AT1G52565	841688	Arabidopsis thaliana	cytochrome P450 family protein(AT1G52565)
AT5G13720	831217	Arabidopsis thaliana	Uncharacterized protein family (UPF0114)(AT5G13720)
AT5G62740	836395	Arabidopsis thaliana	SPFH/Band 7/PHB domain-containing membrane-associated protein family(HIR1)
AT1G52560	841687	Arabidopsis thaliana	HSP20-like chaperones superfamily protein(AT1G52560)
AT3G52510	824416	Arabidopsis thaliana	F-box associated ubiquitination effector family protein(AT3G52510)
AT5G01740	831686	Arabidopsis thaliana	Nuclear transport factor 2 (NTF2) family protein(AT5G01740)
AT4G36808	28720211	Arabidopsis thaliana	ncRNA(AT4G36808)
AT5G47110	834757	Arabidopsis thaliana	Chlorophyll A-B binding family protein(LIL3:2)
AT3G52520	28719399	Arabidopsis thaliana	hypothetical protein(AT3G52520)
AT3G27540	822376	Arabidopsis thaliana	beta-1,4-N-acetylglucosaminyltransferase family protein(AT3G27540)
AT4G24820	828585	Arabidopsis thaliana	26S proteasome regulatory subunit Rpn7(AT4G24820)
AT3G03590	821215	Arabidopsis thaliana	SWIB/MDM2 domain superfamily protein(AT3G03590)
AT5G50760	835148	Arabidopsis thaliana	SAUR-like auxin-responsive protein family(AT5G50760)
AT5G49770	835040	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT5G49770)
AT5G13730	831218	Arabidopsis thaliana	sigma factor 4(SIG4)
AT1G52550	841686	Arabidopsis thaliana	transmembrane protein(AT1G52550)
AT5G62730	836394	Arabidopsis thaliana	Major facilitator superfamily protein(AT5G62730)
AT3G15570	820797	Arabidopsis thaliana	Phototropic-responsive NPH3 family protein(AT3G15570)
AT1G39590	3767125	Arabidopsis thaliana	hypothetical protein(AT1G39590)
AT4G36800	829833	Arabidopsis thaliana	RUB1 conjugating enzyme 1(RCE1)
AT5G01750	831684	Arabidopsis thaliana	LURP-one-like protein (DUF567)(AT5G01750)
AT3G52527	3769710	Arabidopsis thaliana	hypothetical protein(AT3G52527)
AT3G15578	6240768	Arabidopsis thaliana	hypothetical protein(AT3G15578)
AT3G52525	824418	Arabidopsis thaliana	ovate family protein 6(OFP6)
AT3G27570	822379	Arabidopsis thaliana	Sucrase/ferredoxin-like family protein(AT3G27570)
AT4G24830	828586	Arabidopsis thaliana	arginosuccinate synthase family(AT4G24830)
AT5G50770	835149	Arabidopsis thaliana	hydroxysteroid dehydrogenase 6(HSD6)
AT5G49780	835041	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT5G49780)
AT5G47120	834758	Arabidopsis thaliana	BAX inhibitor 1(BI1)
AT5G13700	831215	Arabidopsis thaliana	polyamine oxidase 1(PAO1)
AT5G59100	836027	Arabidopsis thaliana	Subtilisin-like serine endopeptidase family protein(AT5G59100)
AT5G62760	836397	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G62760)
AT1G52540	841685	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G52540)
AT3G15580	820798	Arabidopsis thaliana	Ubiquitin-like superfamily protein(APG8H)
AT5G60100	836132	Arabidopsis thaliana	pseudo-response regulator 3(PRR3)
AT5G59105	836028	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT5G59105)
AT4G36810	829834	Arabidopsis thaliana	geranylgeranyl pyrophosphate synthase 1(GGPS1)
AT5G01720	831688	Arabidopsis thaliana	RNI-like superfamily protein(AT5G01720)
AT5G01732	6240681	Arabidopsis thaliana	ncRNA(AT5G01732)
AT3G27560	822378	Arabidopsis thaliana	Protein kinase superfamily protein(ATN1)
AT1G64500	842758	Arabidopsis thaliana	Glutaredoxin family protein(AT1G64500)
AT4G24840	828587	Arabidopsis thaliana	oligomeric golgi complex subunit-like protein(AT4G24840)
AT5G49790	835042	Arabidopsis thaliana	hypothetical protein(AT5G49790)
AT5G47130	834759	Arabidopsis thaliana	Bax inhibitor-1 family protein(AT5G47130)
AT5G13710	831216	Arabidopsis thaliana	sterol methyltransferase 1(SMT1)
AT1G52530	841684	Arabidopsis thaliana	Hus1-like protein(AT1G52530)
AT5G62750	836396	Arabidopsis thaliana	hypothetical protein(AT5G62750)
AT3G15590	820799	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G15590)
AT1G27595	839651	Arabidopsis thaliana	symplekin(AT1G27595)
AT5G50780	835150	Arabidopsis thaliana	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein(AT5G50780)
AT3G52500	824415	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT3G52500)
AT4G36820	829835	Arabidopsis thaliana	calcium uniporter (DUF607)(AT4G36820)
AT5G59110	836029	Arabidopsis thaliana	subtilisin-like serine protease-like protein(AT5G59110)
AT5G01730	831687	Arabidopsis thaliana	SCAR family protein 4(SCAR4)
AT5G23170	832381	Arabidopsis thaliana	Protein kinase superfamily protein(AT5G23170)
AT1G15500	838120	Arabidopsis thaliana	TLC ATP/ADP transporter(ATNTT2)
AT1G03510	839478	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G03510)
AT1G03515	3766649	Arabidopsis thaliana	tRNA(AT1G03515)
AT5G35150	3771255	Arabidopsis thaliana	hypothetical protein(AT5G35150)
AT5G11180	830988	Arabidopsis thaliana	glutamate receptor 2.6(GLR2.6)
AT4G36830	829836	Arabidopsis thaliana	GNS1/SUR4 membrane protein family(HOS3-1)
AT1G15510	838121	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(ECB2)
AT4G24860	828589	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G24860)
AT5G23160	832380	Arabidopsis thaliana	transmembrane protein(AT5G23160)
AT4G22200	828311	Arabidopsis thaliana	potassium transport 2/3(KT2/3)
AT5G35146	3771253	Arabidopsis thaliana	hypothetical protein(AT5G35146)
AT5G35148	3771254	Arabidopsis thaliana	hypothetical protein(AT5G35148)
AT1G03502	3766647	Arabidopsis thaliana	ncRNA(AT1G03502)
AT5G35142	3771251	Arabidopsis thaliana	hypothetical protein(AT5G35142)
AT1G03506	3766648	Arabidopsis thaliana	ncRNA(AT1G03506)
AT5G35145	3771252	Arabidopsis thaliana	hypothetical protein(AT5G35145)
AT5G35140	3771250	Arabidopsis thaliana	hypothetical protein(AT5G35140)
AT4G36840	829837	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(AT4G36840)
AT5G11190	830989	Arabidopsis thaliana	Integrase-type DNA-binding superfamily protein(SHN2)
AT5G23155	5008220	Arabidopsis thaliana	ncRNA(AT5G23155)
AT4G22214	828314	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT4G22214)
AT4G22212	828313	Arabidopsis thaliana	defensin-like protein(AT4G22212)
