From	Entrez	Species	Description
AT1G63940	842697	Arabidopsis thaliana	monodehydroascorbate reductase 6(MDAR6)
AT2G12320	815704	Arabidopsis thaliana	hypothetical protein(AT2G12320)
AT5G14340	831284	Arabidopsis thaliana	myb domain protein 40(MYB40)
AT5G26320	832701	Arabidopsis thaliana	TRAF-like family protein(AT5G26320)
AT2G14980	3768492	Arabidopsis thaliana	hypothetical protein(AT2G14980)
AT5G14345	5008209	Arabidopsis thaliana	early nodulin-like protein 21(ENODL21)
AT2G38950	818480	Arabidopsis thaliana	Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein(AT2G38950)
AT1G75920	843925	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G75920)
AT3G26700	822282	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G26700)
AT3G02730	821260	Arabidopsis thaliana	thioredoxin F-type 1(TRXF1)
AT1G24330	839049	Arabidopsis thaliana	ARM repeat superfamily protein(AT1G24330)
AT1G51950	841623	Arabidopsis thaliana	indole-3-acetic acid inducible 18(IAA18)
AT2G24300	816966	Arabidopsis thaliana	Calmodulin-binding protein(AT2G24300)
AT1G26990	3766802	Arabidopsis thaliana	hypothetical protein(AT1G26990)
