gene	A_1	A_2	A_3
AT3G11700	79.19999938	94.0162922	105.5863087
AT3G11710	133.1070074	125.9916327	137.9123594
AT3G11720	9.280980778	9.225805925	7.964945351
AT3G11730	45.00781389	48.31258094	47.39826905
AT3G11740	0.361088158	0	0
AT3G11745	6.448002828	3.057531955	4.065561801
AT3G11750	4.847942867	4.681845806	6.640417609
AT3G11760	9.203221864	9.859263034	7.879715602
AT3G11770	31.02571872	28.12036688	27.42028543
AT3G11773	0.386190544	0.400585737	0.284082037
AT3G11780	96.46685479	108.7219092	87.28798486
AT3G11800	55.91042452	59.09913378	54.64115061
AT3G11810	35.4084897	39.63405852	40.55342701
AT3G11820	28.64328007	34.04568282	28.53098054
AT3G11825	0	0	0
AT3G11830	181.4575719	167.5542106	156.4793014
AT3G11840	3.581910251	4.589643153	2.906090857
AT3G11850	5.963705329	6.127087236	4.449575936
AT3G11860	0.19029679	0	0
AT3G11870	0	0	0
AT3G11880	21.99521777	25.93314793	24.51224206
AT3G11890	10.4075682	12.11356502	12.48520914
AT3G11900	22.8055679	20.80194547	18.13383215
AT3G11910	55.40849166	54.75104462	51.12263699
AT3G11920	0	0.079143722	0
AT3G11930	457.612048	355.0323978	153.3098357
AT3G11940	462.7874304	428.3848759	451.0472338
AT3G11945	33.76408754	39.20589838	40.7738889
AT3G11950	6.488188682	7.093820597	6.643104949
AT3G11960	21.44635793	20.70092268	18.76681438
AT3G11964	37.59759555	32.18462588	36.79173788
AT3G11980	0.204679164	0.070769516	0
AT3G11990	0	0	0
AT3G12000	0	0	0
AT3G12010	26.00797999	24.4795139	23.73721715
AT3G12020	15.27225326	14.98190658	18.54962558
AT3G12030	8.507565713	3.610097971	0
AT3G12040	3.989924402	3.035008699	3.66873901
AT3G12050	69.46473593	68.05631006	56.59964589
AT3G12060	1.038604482	0.287284882	0.305599276
AT3G12070	1.48102565	1.316769133	1.478530483
AT3G12080	60.70374886	58.25559777	63.31041199
AT3G12090	17.78404241	17.20052502	11.4025141
AT3G12100	13.90788483	11.79447427	12.96112741
AT3G12110	20.7605496	22.62368443	27.45300166
AT3G12120	776.7394799	761.896325	631.6171901
AT3G12130	38.79750289	41.39051435	36.70944849
AT3G12140	26.85989108	26.63450058	23.17544578
AT3G12145	40.64069151	44.68287927	41.72440538
AT3G12150	16.21836644	10.71269803	9.791802236
AT3G12160	0.128960057	0	0
AT3G12170	3.157054937	3.138286442	5.370392383
AT3G12180	18.11673614	18.79203472	23.6579205
AT3G12190	0	0	0.196753114
AT3G12200	21.21885323	19.99403532	21.5584176
AT3G12203	0.080600035	0.167208779	0.622539151
AT3G12210	15.74170598	14.73803973	16.46710779
AT3G12220	0.1596852	0	0.088098409
AT3G12230	0	0	0
AT3G12240	0.36869244	0	0.203407814
AT3G12250	7.200406031	7.215620405	6.463676456
AT3G12260	155.9629604	158.0837326	154.5066182
AT3G12270	36.67784265	38.44973773	36.59554774
AT3G12280	30.91289792	32.57105404	34.52327243
AT3G12290	141.596241	136.0764488	128.5663164
AT3G12300	23.59301115	27.15843623	18.73073971
AT3G12320	11.92665198	10.64288445	9.289327365
AT3G12340	15.0764529	16.74491774	14.04590549
AT3G12345	112.0770577	107.405929	112.3055556
AT3G12350	17.47841471	17.47065013	13.93830231
AT3G12360	33.33121462	31.34675838	26.830206
AT3G12370	37.20516578	36.68439417	41.20831143
AT3G12380	14.80037328	14.50253411	14.20065005
AT3G12390	221.0033548	206.4319658	227.796144
AT3G12400	31.5425259	30.75080047	26.97508165
AT3G12410	0	0	0
AT3G12420	0	0	0
AT3G12430	0	0	0
AT3G12440	0	0.129938479	0.276444098
AT3G12460	0.557127342	0.577894179	0.30736745
AT3G12470	0	0.172801691	0.183817788
AT3G12480	41.40198042	46.53306252	48.80562376
AT3G12490	247.6736505	229.4955689	198.1259145
AT3G12500	420.050988	308.2584565	145.9054031
AT3G12510	53.62041149	45.43532452	13.9578974
AT3G12520	11.7701136	11.5953331	11.15981731
AT3G12530	5.298432258	7.694302718	8.184814074
AT3G12540	0.999551996	0.444347204	0.393895261
AT3G12545	0	0	0
AT3G12550	9.567621058	10.56110311	8.524574358
AT3G12560	14.438078	13.84597175	11.30198576
AT3G12570	42.7755794	40.15768773	38.38621913
AT3G12580	142.7731115	183.6472596	114.0886987
AT3G12587	28.93568407	22.69985845	22.53717491
AT3G12590	15.16677073	12.8832368	15.96057273
AT3G12600	57.27605271	56.08989655	52.86164953
AT3G12610	65.09515157	54.35754509	60.9664163
AT3G12620	31.4563338	33.13306262	27.58327314
AT3G12630	105.514996	102.3476218	75.63871757
AT3G12640	27.59376895	30.1257172	24.84966775
AT3G12650	37.63961352	33.81203355	30.80093953
AT3G12670	50.73545429	51.51478081	52.87694318
AT3G12660	0	0	0
AT3G12680	22.61512474	20.48674073	21.29369822
AT3G12685	9.049828531	11.07684822	13.38069112
AT3G12690	4.724755361	4.321197114	4.316388231
