"","gene","Control_1","Control_2","Control_3","A_1","A_2","A_3","wtavg","abaavg","log2FoldChange"
"124","AT1G02180",10.89557236,9.4685768,10.2012965,8.14602353,6.824729678,8.296920917,10.1884818866667,7.755891375,-0.393574598715663
"125","AT1G02190",0.500569647,0.237446784,0.48379137,0.263207769,0.0682547,0.072605933,0.407269267,0.134689467333333,-1.59634591405646
"126","AT1G02205",14.89697737,17.91474192,14.81987365,158.8265309,197.062317,257.7509606,15.8771976466667,204.546602833333,3.68740137489726
"127","AT1G02210",0,0,0,0,0,0,0,0,NA
"128","AT1G02220",4.837265802,4.26134841,6.487933507,9.538177769,6.784259582,4.209774182,5.19551590633333,6.844070511,0.397587609733197
"129","AT1G02230",0.218613286,0.453687056,0.422571452,0.201163319,0.417323303,0.11098191,0.364957264666667,0.243156177333333,-0.585844295471457
"130","AT1G02250",0,0,0,0,0,0.135059341,0,0.0450197803333333,Inf
"131","AT1G02260",10.59007175,7.224794851,9.588062672,10.08078612,7.551949807,8.713134233,9.13430975766667,8.78195672,-0.0567532899558259
"132","AT1G02270",22.23947696,26.58725279,28.96301955,28.60260686,30.73421754,30.513954,25.9299164333333,29.9502594666667,0.207950944803897
"133","AT1G02280",118.0464924,120.2098791,122.4621813,74.12122658,66.02405288,79.6850113,120.2395176,73.2767635866667,-0.714483435825408
"134","AT1G02290",11.90335114,10.32362714,11.50437026,10.62625028,9.496171685,13.43867197,11.2437828466667,11.1870313116667,-0.00730025510722311
"135","AT1G02300",18.33394947,14.59632739,16.99406884,35.3195521,37.14776016,31.56919847,16.6414485666667,34.67883691,1.05927449361255
"136","AT1G02305",61.58089218,45.84077232,53.8023258,109.3273315,109.1432427,85.74492332,53.7413301,101.40516584,0.916027215146158
"137","AT1G02310",0.411709742,0.170883833,0.497387381,10.98655118,13.65563944,7.524355166,0.359993652,10.7221819286667,4.89648324232163
"138","AT1G02320",0,0,0,0,0,0,0,0,NA
"139","AT1G02330",49.99702341,50.24099276,54.29777496,46.97475455,48.85131315,39.2747583,51.5119303766667,45.0336086666667,-0.193904515723417
"140","AT1G02335",17.91613166,16.97834445,19.61414479,27.86579323,25.12117669,20.44443724,18.1695403,24.47713572,0.429912826757461
"141","AT1G02340",9.075467712,5.222230141,4.186289321,22.20621,24.11673529,20.83747339,6.161329058,22.3868062266667,1.86133523057139
"142","AT1G02350",0.742148176,2.464282223,1.793181455,2.04872714,2.833457509,1.130283848,1.66653728466667,2.00415616566667,0.266141334462517
"143","AT1G02360",24.74553726,11.78127816,14.42000586,3.795053288,2.431375874,3.325340503,16.98227376,3.18392322166667,-2.41515218283067
"144","AT1G02370",23.78966069,28.27735932,29.33233133,15.78169796,19.236587,20.06168462,27.1331171133333,18.35998986,-0.563489535213043
"145","AT1G02380",3.456314229,3.165957115,3.11008738,6.141514615,5.801649472,3.751306531,3.24411957466667,5.231490206,0.689394964431232
"146","AT1G02390",2.346140076,1.444973586,2.486936903,11.28182867,12.06354098,13.13995847,2.09268352166667,12.16177604,2.53892787436055
"147","AT1G02400",10.5901124,11.22816366,16.51811198,14.95488699,22.01749798,15.86248054,12.7787960133333,17.6116218366667,0.462775856115657
"148","AT1G02405",0.624526549,1.036861452,1.408384692,0,0.198699026,0.211366078,1.02325756433333,0.136688368,-2.90420694997179
"149","AT1G02410",17.95647274,18.41832238,19.64860011,19.27702726,21.17757998,19.4890363,18.6744650766667,19.9812145133333,0.0975773586535433
"150","AT1G02420",7.951482978,9.000912412,8.882618716,5.511345575,8.180909513,6.710316741,8.61167136866667,6.80085727633333,-0.340576650111667
"151","AT1G02430",0.968915675,1.340523894,1.248585606,1.1887676,0.770674207,1.311687429,1.18600839166667,1.090376412,-0.121287959866077
"152","AT1G02440",0.329757015,0,0,0,0.157372968,0,0.109919005,0.052457656,-1.06721560061658
"153","AT1G02450",0.25194918,0,0.730512766,0.231838304,0.240480041,0,0.327487315333333,0.157439448333333,-1.05664195677674
"154","AT1G02460",1.283498686,2.506953776,2.845802257,1.528415485,1.657449982,0.689913518,2.21208490633333,1.29192632833333,-0.77588295834443
"155","AT1G02470",1.707821694,0.902168603,1.500525728,7.714643147,6.964882385,3.940900658,1.37017200833333,6.20680873,2.17949467101757
"156","AT1G02475",32.51506937,28.42451289,33.92811079,46.33578568,45.31649102,45.57602846,31.62256435,45.7427683866667,0.532589317318255
"157","AT1G02490",0,0.437244706,1.018141954,0,0.502748543,0.534798734,0.485128886666667,0.345849092333333,-0.488225416242939
"158","AT1G02500",332.0365007,296.7630514,309.7308768,398.0837127,429.5212508,364.5213824,312.8434763,397.375448633333,0.345061720207416
"159","AT1G02510",0,0,0,0,0,0,0,0,NA
"160","AT1G02520",4.859577068,2.103454521,2.247702593,3.353759985,2.219787131,1.304000627,3.07024472733333,2.29251591433333,-0.421421907672391
"161","AT1G02530",0.297492233,0.246953656,0.359400974,0.034218257,0.2839499,0.188782306,0.301282287666667,0.168983487666667,-0.834233580140727
"162","AT1G02540",0,0,0,0,0,0,0,0,NA
"163","AT1G02550",0,0,0,0,0,0,0,0,NA
"164","AT1G02560",246.9614723,260.7740437,260.0185856,233.8894224,246.7608142,275.4224326,255.918033866667,252.024223066667,-0.022119410220953
"165","AT1G02570",1.864922843,0.774053005,0.450603419,1.001036479,0.890014252,0,1.02985975566667,0.630350243666667,-0.708222321231548
"166","AT1G02575",0.149918185,0.248899565,0.289786344,0,0,0.152215876,0.229534698,0.0507386253333333,-2.17755591959267
"167","AT1G02580",0,0.053976356,0,0,0,0,0.0179921186666667,0,-Inf
"168","AT1G02590",0,0,0,0,0,0,0,0,NA
"169","AT1G02610",2.98370774,2.122996701,3.913591135,5.58914461,3.864986083,2.596660246,3.006765192,4.016930313,0.4178812256646
