gene	Control_1	Control_2	Control_3
AT1G05500	37.72173708	35.3726492	34.56698414
AT1G05510	0.320335386	0.265916168	0
AT1G05520	35.50891643	34.65491044	36.79213651
AT1G05530	1.790109512	0.469263827	0.637408198
AT1G05540	3.19900148	2.301475534	2.679539354
AT1G05550	0	0	0
AT1G05560	49.38203933	67.40651189	68.11016943
AT1G05570	27.48464646	12.60410341	15.48618055
AT1G05575	14.81212779	8.441902023	12.17898537
AT1G05577	0.826128102	0.257168926	0.199609409
AT1G05580	0	0	0
AT1G05590	13.60779554	15.86704621	14.00807323
AT1G05600	9.762519751	8.315453141	8.122559199
AT1G05610	0.48267017	0.400673194	0.466491855
AT1G05615	0	0	0
AT1G05620	18.81421875	14.50244857	16.36523719
AT1G05630	8.19647077	9.072050502	9.186241315
AT1G05640	3.155399464	3.232394143	2.790092172
AT1G05650	0.418571571	0	0.303406302
AT1G05660	3.274353884	1.528931294	1.384513765
AT1G05670	7.437327571	6.707402856	7.365522984
AT1G05675	15.66489388	17.36737146	22.04928586
AT1G05680	69.85136695	119.1622625	181.8709002
AT1G05690	1.208657643	0.936439895	0.934516331
AT1G05700	5.799947291	2.906134424	3.181524141
AT1G05710	6.313406158	3.975833975	4.979622621
AT1G05720	45.03381639	33.97079052	37.74518879
AT1G05730	5.364468192	5.700021218	9.643467569
AT1G05740	0.604872213	0.251057654	0
AT1G05750	7.10377977	6.704780267	8.041301562
AT1G05760	6.444283725	3.821082772	3.114140932
AT1G05770	1.999545724	1.493872997	1.546019374
AT1G05780	12.89868992	9.199345225	11.0616881
AT1G05783	0.285389708	0	0.827471733
AT1G05785	6.064712652	3.312123094	3.624833809
AT1G05790	12.48579972	10.85824354	12.412076
AT1G05800	0	0	0
AT1G05805	35.94002421	30.77812989	36.17211625
AT1G05810	18.05784434	16.78383368	19.24258259
AT1G05820	1.902248695	1.62694211	2.005623738
AT1G05830	22.00744729	18.23817704	22.58802203
AT1G05835	9.695626968	11.09389825	7.851081276
AT1G05840	20.31303214	16.63227423	19.36446105
AT1G05850	492.7279522	486.7913027	505.2789994
AT1G05860	9.561667842	7.238829029	6.949364622
AT1G05870	23.77188212	16.97658567	19.08959474
AT1G05880	0	0	0.083034018
AT1G05890	45.22501945	33.73419088	38.47996752
AT1G05894	0.098657661	0.2456925	0.286052453
AT1G05900	9.940743464	9.24222883	9.991847825
AT1G05910	24.68926392	28.5373449	27.56179699
AT1G05920	0	0	0
AT1G05930	0	0	0
AT1G05940	23.05200719	22.11943809	22.6985765
AT1G05950	6.889532077	8.902410856	7.977764054
AT1G05960	34.72484744	33.02461182	35.65606032
AT1G05970	9.621281743	6.845827804	7.306193792
AT1G05990	1.385561633	0.492934133	0.573908516
AT1G06000	44.2111277	48.52341727	45.88375081
AT1G06010	21.45929225	14.65324156	15.38775072
AT1G06020	0.112277782	0.559222843	0.325543243
AT1G06030	0.129082516	0.107153719	0
AT1G06040	134.9361235	132.2423641	132.3674274
AT1G06045	0	0	0
AT1G06050	7.034816327	5.109761668	6.905255478
AT1G06060	22.09318033	21.32551924	21.84922635
AT1G06070	23.19592832	21.33701777	21.20663121
AT1G06080	26.86484206	30.30416625	25.65029125
AT1G06090	5.564667455	3.323664691	3.804056534
AT1G06100	2.293842119	3.536296436	2.216956279
AT1G06110	23.40560768	17.2492176	20.23206395
AT1G06120	1.223098748	0.78969044	0.262689439
AT1G06130	23.17996608	20.23738835	29.06597612
AT1G06135	0	0	0
AT1G06137	0	0	0
AT1G06140	3.737246174	2.926750281	2.794173044
AT1G06143	5.290932785	6.483573994	8.035640428
AT1G06150	23.7601746	23.8692266	25.6564271
AT1G06148	0.071379872	0	0.137974671
AT1G06160	13.87530071	22.55635123	31.15083121
AT1G06170	0.092007233	0.07637686	0.444616504
AT1G06180	12.98310985	16.10572184	18.04647151
AT1G06190	94.78600123	113.7130108	109.9925087
AT1G06200	73.89050356	57.23301008	65.95195498
AT1G06210	23.13533346	22.38127751	23.47786862
AT1G06220	86.53714535	91.86002524	89.25673874
AT1G06225	0	0	0
AT1G06230	43.88436124	46.82729577	46.46274276
AT1G06240	12.80171726	10.07179742	10.52596423
AT1G06250	1.589780614	2.287489524	1.024329177
AT1G06260	1.194780889	2.23157051	1.732100679
AT1G06270	8.251062981	9.025033595	9.569400998
AT1G06280	0	0	0
AT1G06290	39.63053585	37.86375994	40.89179817
AT1G06310	0.267400919	0.38845505	0.581485673
AT1G06320	1.647301912	0.390701417	0.454882012
AT1G06330	0.323304509	0.134190445	0.156233935
AT1G06340	0	0	0.185003843
AT1G06350	10.01630275	12.31419542	8.087567022
AT1G06360	76.17029178	84.84581002	63.97404202
AT1G06380	33.16485277	38.86108216	36.21898268
AT1G06390	64.95380015	58.30895073	63.79879853
AT1G06400	48.80206663	40.31670697	49.88743385
AT1G06410	82.91330192	76.78581998	85.69333807
AT1G06420	3.002796056	2.379371629	1.451073619
AT1G06430	25.27667119	29.11506959	29.92213877
AT1G06440	6.002303179	6.211211079	6.4368545
AT1G06450	11.37422749	13.69082882	10.88305214
AT1G06460	144.6068137	141.1489464	140.9082259
AT1G06470	19.22941163	20.63814032	21.82897825
AT1G06475	0	0	0
AT1G06490	2.300897324	2.049288291	2.038460421
AT1G06500	19.24534644	14.36366075	16.04060315
AT1G06515	41.31855402	36.59866795	42.8338309
