"","gene","log2FoldChange"
"2045","AT1G23050",1.09772625982174
"2046","AT1G23060",0.773068877518311
"2047","AT1G23070",6.48593925861283
"2048","AT1G23080",0.0778086663491184
"2049","AT1G23090",-1.91793232209189
"2050","AT1G23100",-1.17578153718215
"2051","AT1G23110",-0.123021058495535
"2052","AT1G23120",1.52890166442594
"2053","AT1G23130",0.101771844635018
"2054","AT1G23140",-0.505550250978871
"2055","AT1G23150",-0.326894737644159
"2056","AT1G23160",-0.419641941324906
"2057","AT1G23170",-0.199651872129244
"2058","AT1G23180",-0.265961719607323
"2059","AT1G23190",1.50776746922752
"2060","AT1G23200",2.03360945268188
"2061","AT1G23201",0.0177997942316284
"2062","AT1G23205",0.434499314297126
"2063","AT1G23210",0.663810084106711
"2064","AT1G23220",-0.275142846908067
"2065","AT1G23230",0.0458983517572185
"2066","AT1G23260",0.281527366447516
"2067","AT1G23280",-0.83899194141012
"2068","AT1G23290",-0.833474549433318
"2069","AT1G23310",0.491230095298311
"2070","AT1G23330",1.13926220030188
"2071","AT1G23340",0.0153944621115977
"2072","AT1G23350",-0.756627609008116
"2073","AT1G23360",-0.549512772009738
"2074","AT1G23380",-0.116441620943141
"2075","AT1G23390",0.274273822567041
"2076","AT1G23400",-0.24376848394609
"2077","AT1G23440",0.635813205034901
"2078","AT1G23450",-0.584024446774649
"2079","AT1G23460",0.0886591325931133
"2080","AT1G23465",0.342756823529531
"2081","AT1G23480",-0.962293453024867
"2082","AT1G23490",-0.222953125988132
"2083","AT1G23530",0.776371779966858
"2084","AT1G23540",-0.157932005264981
"2085","AT1G23550",-0.267157358191532
"2086","AT1G23560",0.333038322269316
"2087","AT1G23600",0.00189592159814235
"2088","AT1G23700",0.804397043357491
"2089","AT1G23710",0.299200692801679
"2090","AT1G23720",-1.23111690679719
"2091","AT1G23730",0.728388438107303
"2092","AT1G23740",1.08450898183506
"2093","AT1G23750",0.951384535060432
"2094","AT1G23760",0.715234233259121
"2095","AT1G23770",0.954235756831031
"2096","AT1G23780",0.124031921491628
"2097","AT1G23790",-0.247446839153535
"2098","AT1G23800",2.68375564748009
"2099","AT1G23820",-0.183574497233214
"2100","AT1G23830",-1.15529318047033
"2101","AT1G23840",-0.83003008849548
"2102","AT1G23850",-0.844730215551491
"2103","AT1G23860",-0.0918859427460128
"2104","AT1G23870",0.133718865761508
"2105","AT1G23880",0.0639374232023164
"2106","AT1G23890",-0.115103847353578
"2107","AT1G23900",-0.0795357451490473
"2108","AT1G23935",-0.00124716919305575
"2109","AT1G23950",-0.122602829015984
"2110","AT1G23960",0.215993271504162
"2111","AT1G23970",-0.13929911067644
"2112","AT1G23980",-0.279160036820478
"2113","AT1G24020",0.0538670834692615
"2114","AT1G24030",0.707576508365948
"2115","AT1G24040",-0.0772224636869835
"2116","AT1G24050",-0.189997265185964
"2117","AT1G24070",1.48043074484704
"2118","AT1G24090",-1.04988715630363
"2119","AT1G24095",-0.152736167518344
"2120","AT1G24100",-0.0746261657568816
"2121","AT1G24120",-0.135251667907462
"2122","AT1G24130",2.12919687167162
"2123","AT1G24140",-0.620273150632691
"2124","AT1G24145",0.936202226567869
"2125","AT1G24147",-0.24276436699318
"2126","AT1G24148",0.407714267711166
"2127","AT1G24150",0.0775373610727904
"2128","AT1G24160",0.153731192374022
"2129","AT1G24170",-0.50088009815429
"2130","AT1G24180",0.178617660147196
"2131","AT1G24190",0.132168911463494
"2132","AT1G24210",-0.517148356682583
"2133","AT1G24240",0.357717607352783
"2134","AT1G24260",-0.418005244576648
"2135","AT1G24265",-0.443677173017181
"2136","AT1G24267",-0.373646644209838
"2137","AT1G24270",-1.44710035054399
"2138","AT1G24280",-1.13694086474862
"2139","AT1G24290",-0.297577482381469
"2140","AT1G24300",0.203330020677315
"2141","AT1G24310",-0.76418654425265
"2142","AT1G24320",-0.973201137724349
"2143","AT1G24330",0.181513187786147
"2144","AT1G24340",0.307148334094364
"2145","AT1G24350",0.0344546076954816
"2146","AT1G24360",-0.203711309189918
"2147","AT1G24400",0.0375083588023788
"2148","AT1G24405",-0.387431238574598
"2149","AT1G24420",-0.597348741283891
"2150","AT1G24430",1.4672021189701
"2151","AT1G24440",0.956918487035059
"2152","AT1G24450",0.422560893935651
"2153","AT1G24460",0.211647839562962
"2154","AT1G24470",1.77942144936891
"2155","AT1G24480",1.54950510915606
"2156","AT1G24490",-0.182045320810125
"2157","AT1G24510",-0.44780139614324
"2158","AT1G24520",1.64632036946322
"2159","AT1G24530",-1.08427166483594
"2160","AT1G24540",-0.811399427043544
"2161","AT1G24560",0.444301540168357
"2162","AT1G24570",-0.457869810569433
"2163","AT1G24580",4.37767860926295
"2164","AT1G24575",0.00386699585340797
"2165","AT1G24577",-0.574565538313186
"2166","AT1G24600",2.82112286251657
"2167","AT1G24610",-0.0276583472998747
"2168","AT1G24620",0.607252776333176
"2169","AT1G24625",0.157638317807875
"2170","AT1G24706",-0.162999675587869
"2171","AT1G24735",2.62052451405924
"2172","AT1G24764",0.102960300080351
"2173","AT1G24793",0.485709708293367
"2174","AT1G24800",-0.621561151711166
"2175","AT1G24880",0.111056948611232
"2176","AT1G24851",-1.71531190395717
"2177","AT1G24881",-0.427919897978193
"2178","AT1G24996",-0.375624164382555
"2179","AT1G25054",0.00413605724746257
"2180","AT1G25055",0.247508832050081
"2181","AT1G25141",0.529497455750926
"2182","AT1G25145",0.0457747054769512
"2183","AT1G25150",-0.227828851713643
"2184","AT1G25180",0.90349982954616
"2185","AT1G25211",-0.128013069703689
"2186","AT1G25220",-0.359892066337243
"2187","AT1G25230",-0.0764583506991206
"2188","AT1G25240",-1.59839592221292
"2189","AT1G25250",-0.147495538134647
"2190","AT1G25260",-0.820923072056488
"2191","AT1G25275",-0.319889509060279
"2192","AT1G25277",0.503320810110169
"2193","AT1G25280",0.091665748416359
"2194","AT1G25290",0.26936623060346
"2195","AT1G25320",0.0517706985748209
"2196","AT1G25350",-0.500969001769078
